COMMAND     PID     USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
condor_ma  3693  cms1353    8u  IPv4 52149772      0t0  TCP cms-a008.rcac.purdue.edu:53923->glidein-collector-2.t2.ucsd.edu:9871 (ESTABLISHED)
condor_ma  3693  cms1353   10u  IPv4 52149788      0t0  TCP cms-a008.rcac.purdue.edu:36324->glidein-collector.t2.ucsd.edu:9871 (ESTABLISHED)
condor_ma  3693  cms1353   11u  IPv4 52150341      0t0  TCP cms-a008.rcac.purdue.edu:55440->glidein-collector-2.t2.ucsd.edu:9871 (ESTABLISHED)
condor_ma  3693  cms1353   14u  IPv4 55413826      0t0  TCP cms-a008.rcac.purdue.edu:46145->glidein-collector.t2.ucsd.edu:9871 (CLOSE_WAIT)
condor_st  3724  cms1353    6u  IPv4 52149864      0t0  TCP cms-a008.rcac.purdue.edu:46958->glidein-collector-2.t2.ucsd.edu:9871 (ESTABLISHED)
condor_st  3724  cms1353    8u  IPv4 52149887      0t0  TCP cms-a008.rcac.purdue.edu:57745->glidein-collector.t2.ucsd.edu:9871 (ESTABLISHED)
condor_st  3724  cms1353   10u  IPv4 52528511      0t0  TCP cms-a008.rcac.purdue.edu:36888->glidein-collector-2.t2.ucsd.edu:9871 (ESTABLISHED)
condor_st  3724  cms1353   11u  IPv4 52149824      0t0  TCP *:33418 (LISTEN)
condor_st  3724  cms1353   12u  IPv4 52166264      0t0  TCP localhost:46919->localhost:33804 (ESTABLISHED)
condor_st  4442   condor    7u  IPv4 53180507      0t0  TCP cms-a008.rcac.purdue.edu:erunbook_server->cmstest1.rcac.purdue.edu:60475 (ESTABLISHED)
condor_st  4442   condor   35u  IPv4 53180534      0t0  TCP localhost:49534->localhost:41724 (ESTABLISHED)
condor_ma  4601  cms1349    7u  IPv4 52096008      0t0  TCP *:58484 (LISTEN)
condor_ma  4601  cms1349    8u  IPv4 52096020      0t0  TCP cms-a008.rcac.purdue.edu:54774->glidein-collector-2.t2.ucsd.edu:10031 (ESTABLISHED)
condor_ma  4601  cms1349   10u  IPv4 52096238      0t0  TCP cms-a008.rcac.purdue.edu:40575->glidein-collector.t2.ucsd.edu:10031 (ESTABLISHED)
condor_ma  4601  cms1349   11u  IPv4 52096662      0t0  TCP cms-a008.rcac.purdue.edu:47266->glidein-collector-2.t2.ucsd.edu:10031 (ESTABLISHED)
condor_ma  4601  cms1349   14u  IPv4 55458367      0t0  TCP cms-a008.rcac.purdue.edu:45785->glidein-collector.t2.ucsd.edu:10031 (CLOSE_WAIT)
condor_st  4626  cms1349    6u  IPv4 52096324      0t0  TCP cms-a008.rcac.purdue.edu:45779->glidein-collector-2.t2.ucsd.edu:10031 (ESTABLISHED)
condor_st  4626  cms1349    8u  IPv4 52096461      0t0  TCP cms-a008.rcac.purdue.edu:34807->glidein-collector.t2.ucsd.edu:10031 (ESTABLISHED)
condor_st  4626  cms1349    9u  IPv4 55462930      0t0  TCP cms-a008.rcac.purdue.edu:48376->glidein-collector.t2.ucsd.edu:10031 (ESTABLISHED)
condor_st  4626  cms1349   10u  IPv4 52096660      0t0  TCP cms-a008.rcac.purdue.edu:57524->glidein-collector-2.t2.ucsd.edu:10031 (ESTABLISHED)
condor_st  4626  cms1349   11u  IPv4 52096282      0t0  TCP *:53312 (LISTEN)
condor_st  4626  cms1349   13u  IPv4 52447223      0t0  TCP localhost:47723->localhost:41946 (ESTABLISHED)
condor_ma  5946 cmsprod7    7u  IPv4 55439195      0t0  TCP *:49188 (LISTEN)
condor_ma  5946 cmsprod7    8u  IPv4 55439207      0t0  TCP cms-a008.rcac.purdue.edu:60662->vocms97.cern.ch:9780 (ESTABLISHED)
condor_ma  5946 cmsprod7   10u  IPv4 55439295      0t0  TCP cms-a008.rcac.purdue.edu:34399->cmssrv119.fnal.gov:9780 (ESTABLISHED)
condor_ma  5946 cmsprod7   11u  IPv4 55439500      0t0  TCP cms-a008.rcac.purdue.edu:32968->vocms97.cern.ch:9780 (ESTABLISHED)
condor_ma  5946 cmsprod7   14u  IPv4 55439501      0t0  TCP cms-a008.rcac.purdue.edu:52669->cmssrv119.fnal.gov:9780 (ESTABLISHED)
condor_st  5957 cmsprod7    6u  IPv4 55439356      0t0  TCP cms-a008.rcac.purdue.edu:39016->vocms97.cern.ch:9780 (ESTABLISHED)
condor_st  5957 cmsprod7    8u  IPv4 55439373      0t0  TCP cms-a008.rcac.purdue.edu:45685->cmssrv119.fnal.gov:9780 (ESTABLISHED)
condor_st  5957 cmsprod7   10u  IPv4 55439574      0t0  TCP cms-a008.rcac.purdue.edu:41476->vocms97.cern.ch:9780 (ESTABLISHED)
condor_st  5957 cmsprod7   11u  IPv4 55439306      0t0  TCP *:41616 (LISTEN)
condor_st  5957 cmsprod7   12u  IPv4 55516459      0t0  TCP localhost:54374->localhost:52724 (ESTABLISHED)
