

OSG efficiency summary by Site & VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  43  | CIT_CMS_T2B            | cms             |         1 |     1,541 |    -2,444 |      28.3 |        -34 |      0.20 |  0.00 |    20 |     0
  44  | CIT_CMS_T2B            | cms             |         8 |     1,002 |    -1,028 |  35,680.3 |    -29,329 |      3.91 | -1.32 |    49 |   -16
  45  | CIT_CMS_T2B            | fermilab        |         8 |       608 |    -1,994 |     205.1 |       -983 |      0.79 | -2.87 |    10 |   -36
  46  | CIT_CMS_T2B            | glow            |         8 |     1,486 |      -369 |     604.9 |     -2,319 |      1.76 | -3.10 |    22 |   -39
  47  | CIT_CMS_T2B            | ilc             |         1 |         0 |       -75 |         0 |        -13 |      0.00 | -0.23 |     0 |   -23
  48  | CIT_CMS_T2B            | osg             |         8 |     1,431 |      -352 |     625.0 |       -690 |      4.26 | -0.88 |    53 |   -11
  49  | COMET                  | osg             |        24 |         0 |      -434 |         0 |     -9,679 |      0.00 | -18.66 |     0 |   -78
  50  | CancerComputer_Miron_CE | osg             |         6 |        34 |       -58 |   1,270.7 |     -1,606 |      5.84 |  0.03 |    97 |     0
  51  | Clemson-Palmetto       | atlas           |         1 |         0 |    -2,068 |         0 |       -639 |      0.00 | -0.61 |     0 |   -61
  52  | Clemson-Palmetto       | cms             |         1 |         0 |    -1,563 |         0 |        -19 |      0.00 | -0.51 |     0 |   -51
  53  | Clemson-Palmetto       | fermilab        |         1 |         0 |       -43 |         0 |        -87 |      0.00 | -0.24 |     0 |   -24
  54  | Clemson-Palmetto       | fermilab        |         8 |         0 |       -30 |         0 |       -136 |      0.00 | -2.84 |     0 |   -35
