

OSG efficiency summary by Site & VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  175 | JINR_Cloud             | nova            |         1 |     1,012 |    -2,212 |   4,612.1 |     -9,320 |      0.79 |  0.01 |    79 |     1
  176 | Lucille_CE             | atlas           |         1 |       908 |      -696 |   1,381.4 |        993 |      0.90 |  0.33 |    90 |    33
  177 | Lucille_CE             | atlas           |         8 |       285 |       -78 |     725.5 |     -7,773 |      7.22 | -0.42 |    90 |    -5
  178 | MIT_CMS                | atlas           |         1 |     1,064 |    -5,592 |     992.3 |     -5,287 |      0.03 | -0.39 |     3 |   -39
  179 | MIT_CMS                | cms             |         1 |     2,516 |    -4,045 |      92.0 |       -150 |      0.08 |  0.02 |     8 |     2
  180 | MIT_CMS                | cms             |         8 |     1,566 |    -2,437 |  35,134.4 |    -48,943 |      5.50 | -0.15 |    69 |    -2
  181 | MIT_CMS                | fermilab        |         8 |         0 |      -218 |         0 |        -75 |      0.00 | -0.01 |     0 |     0
  182 | MIT_CMS                | ilc             |         1 |         0 |       -80 |         0 |         -7 |      0.00 | -0.07 |     0 |    -7
  183 | MIT_CMS                | osg             |         8 |         0 |       -18 |         0 |        -89 |      0.00 |  0.00 |     0 |     0
  184 | MIT_CMS                | sbgrid          |         8 |         1 |       -29 |         0 |        -24 |      0.11 |  0.10 |     1 |     1
  185 | MIT_CMS_2              | cms             |         1 |     1,281 |    -1,954 |      45.7 |        -74 |      0.08 |  0.02 |     8 |     2
  186 | MIT_CMS_2              | cms             |         8 |       854 |    -1,245 |  29,561.4 |    -28,760 |      5.57 | -0.22 |    70 |    -2
  187 | MIT_CMS_2              | ilc             |         1 |         0 |       -44 |         0 |         -3 |      0.00 | -0.09 |     0 |    -9
  188 | MIT_SUBMIT             | osg             |         1 |       547 |    -3,374 |   2,880.6 |    -19,891 |      0.60 | -0.19 |    60 |   -19
  189 | MWT2                   | atlas           |         1 |    51,543 |   -34,777 |  14,485.8 |    -42,291 |      0.37 | -0.45 |    37 |   -45
  190 | MWT2                   | atlas           |         8 |       914 |      -210 |   1,864.2 |       -950 |      7.17 |  0.59 |    90 |     8
  191 | MWT2                   | cms             |         1 |     1,514 |    -2,446 |      18.1 |        -24 |      0.26 | -0.03 |    26 |    -3
  192 | MWT2                   | cms             |         8 |       193 |       131 |     136.2 |        -57 |      2.97 | -2.14 |    37 |   -27
  193 | MWT2                   | fermilab        |         1 |     3,484 |    -8,592 |   1,247.3 |     -3,087 |      0.02 | -0.01 |     2 |    -1
  194 | MWT2                   | fermilab        |         8 |       217 |      -166 |     144.6 |        -58 |      3.49 |  1.38 |    44 |    18
  195 | MWT2                   | glow            |         1 |     5,833 |    -4,591 |   4,222.1 |     -5,948 |      0.50 | -0.15 |    50 |   -15
  196 | MWT2                   | glow            |         8 |        61 |      -102 |     286.2 |       -380 |      2.61 |  0.23 |    33 |     3
  197 | MWT2                   | hcc             |         1 |     1,345 |    -3,327 |   5,912.3 |     -3,492 |      0.93 |  0.32 |    93 |    32
  198 | MWT2                   | microboone      |         1 |       601 |      -633 |     215.6 |       -216 |      0.02 | -0.01 |     2 |    -1
  199 | MWT2                   | microboone      |         8 |       246 |      -100 |      87.7 |        -30 |      0.03 |  0.00 |     0 |     0
  200 | MWT2                   | nova            |         1 |     1,874 |    -4,211 |     672.3 |     -1,504 |      0.02 |  0.00 |     2 |     0
  201 | MWT2                   | nova            |         8 |       124 |       -40 |      72.3 |        -63 |      2.93 | -1.37 |    37 |   -17
  202 | MWT2                   | osg             |         1 |    13,648 |   -17,189 |  20,943.5 |    -34,491 |      0.68 | -0.04 |    68 |    -4
  203 | MWT2                   | osg             |         8 |       433 |      -207 |   1,752.0 |       -708 |      2.80 | -0.74 |    35 |    -9
  204 | MWT2_CE_IU             | atlas           |         1 |    35,624 |   -64,844 |  98,802.2 |   -280,433 |      0.94 | -0.03 |    94 |    -3
  205 | MWT2_CE_IU             | atlas           |         8 |    15,323 |   -20,125 |  16,887.5 |    -14,620 |      5.00 |  0.73 |    62 |     9
  206 | MWT2_CE_IU             | ciconnect (nr)  |         8 |       277 |    -1,806 |   1,474.8 |        159 |      3.84 |  3.09 |    48 |    39
  207 | MWT2_CE_IU             | cms             |         1 |     1,453 |    -2,304 |      18.2 |        -22 |      0.23 | -0.04 |    23 |    -4
  208 | MWT2_CE_IU             | cms             |         8 |        89 |        58 |      63.6 |          4 |      2.50 | -2.69 |    31 |   -34
  209 | MWT2_CE_IU             | fermilab        |         1 |     1,104 |    -2,117 |     393.4 |       -757 |      0.03 |  0.00 |     3 |     0
  210 | MWT2_CE_IU             | fermilab        |         8 |       133 |        50 |      52.7 |          4 |      0.51 | -2.49 |     6 |   -31
  211 | MWT2_CE_IU             | glow            |         1 |     1,522 |      -670 |   1,456.0 |       -497 |      0.65 |  0.08 |    65 |     8
  212 | MWT2_CE_IU             | glow            |         8 |        38 |        -9 |     260.7 |         86 |      2.61 |  1.15 |    33 |    15
  213 | MWT2_CE_IU             | hcc             |         1 |       286 |    -1,442 |     878.3 |     -1,004 |      0.88 |  0.33 |    88 |    33
  214 | MWT2_CE_IU             | hcc             |         8 |        47 |      -228 |     102.8 |       -305 |      6.88 |  2.49 |    86 |    31
  215 | MWT2_CE_IU             | microboone      |         1 |       449 |      -295 |     159.3 |        -97 |      0.03 |  0.01 |     3 |     1
  216 | MWT2_CE_IU             | microboone      |         8 |       106 |        15 |      36.2 |          4 |      0.03 |  0.00 |     0 |     0
  217 | MWT2_CE_IU             | nova            |         1 |       493 |    -1,049 |     172.1 |       -376 |      0.02 |  0.00 |     2 |     0
  218 | MWT2_CE_IU             | nova            |         8 |        24 |       -13 |      13.5 |        -15 |      3.21 | -1.21 |    40 |   -15
  219 | MWT2_CE_IU             | osg             |         1 |     3,045 |      -906 |   4,804.6 |     -2,514 |      0.70 | -0.01 |    70 |    -1
  220 | MWT2_CE_IU             | osg             |         8 |       104 |       -91 |     254.6 |       -577 |      2.64 |  0.06 |    33 |     1
  221 | MWT2_CE_UC             | atlas           |         1 |    47,692 |  -116,335 | 163,795.5 |   -718,596 |      0.96 | -0.03 |    96 |    -3
  222 | MWT2_CE_UC             | atlas           |         8 |    20,544 |   -22,045 |  36,823.3 |    -14,993 |      5.28 |  0.73 |    66 |     9
  223 | MWT2_CE_UC             | ciconnect (nr)  |         8 |       338 |    -1,975 |   3,802.2 |      2,168 |      3.59 |  2.65 |    45 |    33
  224 | MWT2_CE_UC             | cms             |         1 |     1,502 |    -2,450 |      17.5 |        -26 |      0.29 |  0.00 |    29 |     0
  225 | MWT2_CE_UC             | cms             |         8 |        83 |        57 |      45.5 |         -1 |      2.21 | -2.38 |    28 |   -29
  226 | MWT2_CE_UC             | fermilab        |         1 |     1,544 |      -866 |     551.2 |       -318 |      0.03 | -0.01 |     3 |    -1
  227 | MWT2_CE_UC             | fermilab        |         8 |        92 |        24 |      42.7 |          8 |      1.93 | -0.67 |    24 |    -8
  228 | MWT2_CE_UC             | glow            |         1 |     1,398 |      -354 |   1,584.9 |         -9 |      0.66 |  0.03 |    66 |     3
  229 | MWT2_CE_UC             | glow            |         8 |         5 |       -14 |      24.1 |        -89 |      2.36 |  0.29 |    29 |     3
  230 | MWT2_CE_UC             | hcc             |         1 |       276 |    -1,871 |     674.9 |       -953 |      0.88 |  0.45 |    88 |    45
  231 | MWT2_CE_UC             | hcc             |         8 |        68 |      -143 |     256.5 |         86 |      6.36 |  2.22 |    79 |    27
  232 | MWT2_CE_UC             | microboone      |         1 |       506 |      -342 |     180.7 |       -122 |      0.02 |  0.00 |     2 |     0
  233 | MWT2_CE_UC             | microboone      |         8 |        72 |        -9 |      25.8 |          0 |      0.03 |  0.00 |     0 |     0
  234 | MWT2_CE_UC             | nova            |         1 |       753 |      -590 |     270.0 |       -206 |      0.03 |  0.01 |     3 |     1
  235 | MWT2_CE_UC             | nova            |         8 |        21 |       -25 |      17.4 |        -13 |      4.10 |  0.40 |    51 |     5
  236 | MWT2_CE_UC             | osg             |         1 |     3,487 |    -3,389 |   4,778.0 |     -7,564 |      0.65 | -0.07 |    65 |    -7
  237 | MWT2_CE_UC             | osg             |         8 |        67 |      -140 |     254.6 |       -665 |      2.83 |  0.36 |    35 |     4
  238 | MWT2_CE_UIUC           | atlas           |         1 |    43,547 |   -84,453 | 158,743.3 |   -411,453 |      0.96 | -0.01 |    96 |    -1
  239 | MWT2_CE_UIUC           | atlas           |         8 |    16,557 |   -19,835 |  21,163.8 |    -13,920 |      5.72 |  1.10 |    71 |    13
  240 | MWT2_CE_UIUC           | cms             |         1 |     1,480 |    -2,440 |      16.9 |        -28 |      0.31 |  0.04 |    31 |     4
  241 | MWT2_CE_UIUC           | cms             |         8 |        42 |        15 |      25.5 |        -26 |      2.40 | -1.98 |    30 |   -25
  242 | MWT2_CE_UIUC           | fermilab        |         1 |     1,571 |    -2,151 |     565.1 |       -784 |      0.04 |  0.00 |     4 |     0
  243 | MWT2_CE_UIUC           | fermilab        |         8 |       138 |        32 |      56.1 |         -8 |      0.77 | -2.74 |    10 |   -34
  244 | MWT2_CE_UIUC           | glow            |         1 |     1,845 |    -1,673 |   1,403.2 |     -1,281 |      0.55 |  0.00 |    55 |     0
  245 | MWT2_CE_UIUC           | glow            |         8 |        20 |       -33 |      92.3 |        -65 |      2.20 | -0.32 |    27 |    -5
  246 | MWT2_CE_UIUC           | hcc             |         1 |       388 |    -2,607 |   1,187.1 |     -3,711 |      0.91 |  0.29 |    91 |    29
  247 | MWT2_CE_UIUC           | hcc             |         8 |       129 |      -122 |     557.8 |        277 |      6.88 |  1.40 |    86 |    17
  248 | MWT2_CE_UIUC           | microboone      |         1 |       528 |      -311 |     188.8 |       -112 |      0.02 | -0.01 |     2 |    -1
  249 | MWT2_CE_UIUC           | microboone      |         8 |        83 |        16 |      29.3 |          9 |      0.03 |  0.00 |     0 |     0
  250 | MWT2_CE_UIUC           | nova            |         1 |       977 |    -1,095 |     353.8 |       -384 |      0.05 |  0.01 |     5 |     1
  251 | MWT2_CE_UIUC           | nova            |         8 |        86 |        -3 |      44.9 |         -1 |      1.94 | -0.13 |    24 |    -2
  252 | MWT2_CE_UIUC           | osg             |         1 |     5,529 |    -3,654 |   7,847.6 |     -8,479 |      0.65 | -0.07 |    65 |    -7
  253 | MWT2_CE_UIUC           | osg             |         8 |       103 |      -153 |     515.3 |       -570 |      2.85 |  0.00 |    36 |     0
  254 | NERSC-PDSF             | alice           |         1 |     7,057 |   -37,463 |  49,496.7 |   -223,749 |      0.87 |  0.02 |    87 |     2
  255 | NERSC-PDSF             | star            |         1 |         0 |        -4 |         0 |          0 |      0.00 | -0.16 |     0 |   -16
  256 | NET2                   | atlas           |         1 |    22,631 |    -4,725 | 149,175.1 |     99,592 |      0.98 |  0.04 |    98 |     4
  257 | NET2                   | atlas           |         8 |    11,411 |   -52,798 |  32,424.6 |    -97,944 |      4.82 | -0.09 |    60 |    -1
  258 | NET2_HU                | atlas           |         2 |    15,232 |   -12,030 |  15,577.3 |    -94,387 |      0.67 | -0.25 |    33 |   -13
  259 | NET2_HU                | atlas           |         8 |     3,154 |    -2,315 |   9,777.0 |    -11,856 |      2.97 |  0.46 |    37 |     6
  260 | Nebraska               | cms             |         1 |     1,657 |    -2,027 |      49.3 |        -72 |      0.02 |  0.01 |     2 |     1
  261 | Nebraska               | cms             |         8 |       161 |    -1,162 |   5,832.9 |    -23,700 |      0.39 |  0.07 |     5 |     1
  262 | Nebraska               | cms             |        56 |         0 |       -92 |         0 |     -1,135 |      0.00 | -5.90 |     0 |   -11
  263 | Nebraska               | fermilab        |         8 |        13 |       -87 |      33.5 |       -129 |      4.16 |  4.16 |    52 |    52
  264 | Nebraska               | glow            |         8 |         0 |      -152 |         0 |     -3,850 |      0.00 | -0.12 |     0 |    -2
  265 | Nebraska               | hcc             |         8 |       174 |      -691 |     456.9 |     -1,183 |      0.20 | -0.09 |     2 |    -2
  266 | Nebraska               | microboone      |         8 |         0 |       -65 |         0 |        -22 |      0.00 |  0.00 |     0 |     0
  267 | Nebraska               | nanohub         |         8 |         3 |       -11 |       0.3 |         -1 |      0.00 |  0.00 |     0 |     0
  268 | Nebraska               | nova            |         8 |         0 |        -1 |         0 |          0 |      0.00 |  0.00 |     0 |     0
  269 | Nebraska               | osg             |         8 |         5 |       -16 |       7.4 |       -181 |      0.00 | -0.13 |     0 |    -2
  270 | Nebraska-HCC           | cms             |         1 |     1,469 |    -3,327 |  29,156.2 |    -10,998 |      0.21 | -0.15 |    21 |   -15
  271 | Nebraska-HCC           | cms             |         2 |     2,089 |    -2,576 |   3,252.5 |     -8,383 |      0.21 | -0.17 |    11 |    -8
  272 | Nebraska-HCC           | cms             |         3 |        40 |        22 |     147.0 |         63 |      0.86 |  0.72 |    29 |    24
  273 | Nebraska-HCC           | cms             |         4 |     1,988 |      -305 |   1,907.1 |     -7,106 |      0.22 |  0.13 |     5 |     3
  274 | Nebraska-HCC           | fermilab        |         1 |       137 |       -62 |   1,716.9 |       -196 |      0.20 | -0.21 |    20 |   -21
  275 | Nebraska-HCC           | fermilab        |         2 |       185 |      -173 |     553.7 |        -52 |      0.21 | -0.02 |    10 |    -2
  276 | Nebraska-HCC           | fermilab        |         3 |         1 |         1 |       0.4 |          0 |      0.02 |  0.02 |     1 |     1
  277 | Nebraska-HCC           | fermilab        |         4 |       120 |      -105 |     435.5 |        145 |      0.33 | -0.04 |     8 |    -1
  278 | Nebraska-HCC           | fermilab        |         8 |        51 |       -31 |     431.1 |        223 |      4.40 |  1.19 |    55 |    15
  279 | Nebraska-HCC           | fermilab        |        16 |         2 |        -6 |      46.7 |        -33 |      8.91 |  1.93 |    56 |    12
  280 | Nebraska-HCC           | glow            |         1 |       110 |       -54 |   1,700.9 |     -4,940 |      0.03 | -0.05 |     3 |    -5
  281 | Nebraska-HCC           | glow            |         2 |       395 |        39 |   1,550.1 |       -754 |      0.03 | -0.07 |     2 |    -3
  282 | Nebraska-HCC           | glow            |         3 |         5 |         1 |       1.9 |       -130 |      0.02 |  0.00 |     1 |     0
  283 | Nebraska-HCC           | glow            |         4 |       339 |      -445 |   2,230.5 |     -8,367 |      0.27 |  0.16 |     7 |     4
  284 | Nebraska-HCC           | glow            |         8 |         7 |         6 |     104.7 |        104 |      2.79 |  2.77 |    35 |    35
  285 | Nebraska-HCC           | glow            |        16 |         1 |        -7 |      24.0 |       -143 |      0.01 | -2.07 |     0 |   -13
  286 | Nebraska-HCC           | hcc             |         1 |       151 |    -1,106 |   2,705.0 |    -29,560 |      0.23 | -0.09 |    23 |    -9
  287 | Nebraska-HCC           | hcc             |         2 |       938 |    -2,573 |     441.8 |     -1,105 |      0.09 |  0.07 |     4 |     3
  288 | Nebraska-HCC           | hcc             |         3 |        19 |        17 |       7.7 |          6 |      0.02 |  0.00 |     1 |     0
  289 | Nebraska-HCC           | hcc             |         4 |     1,124 |    -2,546 |     449.5 |     -1,078 |      0.02 |  0.00 |     0 |     0
  290 | Nebraska-HCC           | microboone      |         1 |         2 |      -365 |       0.8 |       -158 |      0.02 | -0.02 |     2 |    -2
  291 | Nebraska-HCC           | microboone      |         2 |        16 |       -72 |       6.6 |        -28 |      0.02 |  0.00 |     1 |     0
  292 | Nebraska-HCC           | microboone      |         3 |         1 |         1 |       0.4 |          0 |      0.02 |  0.02 |     1 |     1
  293 | Nebraska-HCC           | microboone      |         4 |        25 |       -41 |      10.2 |        -18 |      0.02 |  0.01 |     0 |     0
  294 | Nebraska-HCC           | nanohub         |         1 |        90 |      -298 |      33.8 |       -119 |      0.05 | -0.09 |     5 |    -9
  295 | Nebraska-HCC           | nanohub         |         2 |        50 |      -329 |      19.9 |       -264 |      0.05 | -0.33 |     2 |   -17
  296 | Nebraska-HCC           | nanohub         |         3 |         9 |         9 |       3.2 |          3 |      0.02 |  0.02 |     1 |     1
  297 | Nebraska-HCC           | nanohub         |         4 |       129 |      -237 |      48.9 |       -210 |      0.06 | -0.26 |     2 |    -6
  298 | Nebraska-HCC           | nova            |         1 |        74 |      -387 |   1,347.2 |     -6,907 |      0.91 |  0.42 |    91 |    42
  299 | Nebraska-HCC           | nova            |         2 |       138 |      -105 |     458.9 |        185 |      0.08 | -0.06 |     4 |    -3
  300 | Nebraska-HCC           | nova            |         4 |        68 |      -141 |     333.6 |        -50 |      0.39 |  0.02 |    10 |     1
  301 | Nebraska-HCC           | osg             |         1 |       298 |      -914 |   4,191.3 |     -4,057 |      0.54 |  0.23 |    54 |    23
  302 | Nebraska-HCC           | osg             |         2 |       160 |      -451 |     721.7 |     -1,856 |      0.45 |  0.26 |    23 |    14
  303 | Nebraska-HCC           | osg             |         3 |         1 |         1 |       0.2 |          0 |      0.04 |  0.04 |     1 |     1
  304 | Nebraska-HCC           | osg             |         4 |       147 |      -430 |     180.6 |     -1,563 |      0.23 |  0.10 |     6 |     3
  305 | Nebraska-HCC           | osg             |         8 |        36 |       -28 |     498.2 |        190 |      0.81 | -1.08 |    10 |   -14
  306 | Nebraska-HCC           | osg             |        16 |         3 |        -5 |       9.8 |        -89 |      0.01 | -0.82 |     0 |    -5
  307 | OSG-Connect            | osg-connect (nr) |         1 |   308,222 |  -174,403 | 157,308.7 |   -198,624 |      0.59 | -0.13 |    59 |   -13
  308 | OSG-Connect            | osg-connect (nr) |         4 |         0 |        -8 |         0 |        -19 |      0.00 | -1.40 |     0 |   -35
  309 | OSG-Rice               | cms             |         1 |       867 |    -2,048 |     752.5 |     -1,070 |      0.40 | -0.22 |    40 |   -22
  310 | OSGCONNECT             | osg-connect (nr) |         1 |   228,435 |  -671,403 | 269,905.0 |   -284,899 |      0.76 |  0.32 |    76 |    32
  311 | OSGCONNECT             | osg-connect (nr) |         4 |       310 |      -933 |   9,005.2 |    -15,258 |      0.06 | -0.38 |     1 |   -10
  312 | OSGCONNECT             | osg-connect (nr) |         8 |       255 |    -1,353 |   5,136.5 |    -35,445 |      0.15 | -0.49 |     2 |    -6
  313 | OUHEP_OSG              | atlas           |         1 |       134 |      -202 |       0.5 |          0 |      0.00 |  0.00 |     0 |     0
  314 | OU_OCHEP_SWT2          | atlas           |         1 |     3,547 |      -956 |  55,464.1 |     36,881 |      0.98 |  0.02 |    98 |     2
  315 | OU_OSCER_ATLAS         | atlas           |         1 |    17,636 |     3,803 |  10,423.1 |    -16,461 |      0.82 |  0.02 |    82 |     2
  316 | OU_OSCER_ATLAS         | atlas           |        16 |     4,422 |       677 |     510.7 |     -1,529 |     11.77 |  5.07 |    74 |    32
  317 | OU_OSCER_ATLAS         | dosar           |         1 |     5,392 |    -9,638 |  53,981.2 |    -59,919 |      0.99 |  0.11 |    99 |    11
  318 | OU_OSCER_ATLAS         | dosar           |         3 |         1 |         0 |       0.6 |          0 |      1.51 | -0.06 |    50 |    -2
  319 | OU_OSCER_ATLAS         | dosar           |         4 |         3 |        -9 |       0.3 |        -23 |      3.70 |  0.78 |    93 |    20
  320 | OU_OSCER_ATLAS         | dosar           |         8 |         0 |        -1 |         0 |          0 |      0.00 | -0.94 |     0 |   -12
  321 | OU_OSCER_ATLAS         | dosar           |        10 |         0 |      -231 |         0 |        -54 |      0.00 | -1.83 |     0 |   -18
  322 | OU_OSCER_ATLAS         | dosar           |        11 |        13 |        -2 |      16.0 |         -1 |      5.43 |  2.12 |    49 |    19
  323 | OU_OSCER_ATLAS         | dosar           |        12 |         0 |        -3 |         0 |         -1 |      0.00 | -3.54 |     0 |   -29
  324 | OU_OSCER_ATLAS         | dosar           |        16 |       426 |    -2,361 |     185.8 |       -584 |      2.09 | -10.53 |    13 |   -66
  325 | OU_OSCER_ATLAS         | dosar           |        20 |     5,235 |    -8,055 |   1,549.4 |     -3,492 |      4.26 |  0.16 |    21 |     0
  326 | OU_OSCER_ATLAS         | dosar           |        24 |     1,413 |    -2,411 |     641.1 |     -1,736 |      6.05 | -4.53 |    25 |   -19
  327 | OU_OSCER_ATLAS         | dosar           |        32 |         9 |         1 |     227.1 |         61 |     31.99 |  9.31 |   100 |    29
  328 | OU_OSCER_ATLAS         | dosar           |        40 |        15 |       -25 |     268.4 |       -258 |      3.58 |  2.28 |     9 |     6
  329 | OU_OSCER_ATLAS         | dosar           |        44 |         1 |        -3 |         0 |          0 |      4.47 | -22.25 |    10 |   -51
  330 | OU_OSCER_ATLAS         | dosar           |        48 |        42 |    -1,600 |     175.5 |       -163 |     31.19 | -1.50 |    65 |    -3
  331 | OU_OSCER_ATLAS         | dosar           |        50 |         0 |        -7 |         0 |          0 |      0.00 | -34.40 |     0 |   -69
  332 | OU_OSCER_ATLAS         | dosar           |        60 |         6 |       -22 |     135.6 |       -136 |     18.37 | -10.49 |    31 |   -17
  333 | OU_OSCER_ATLAS         | dosar           |        72 |        11 |        -6 |     322.0 |         64 |     58.78 | -5.23 |    82 |    -7
  334 | OU_OSCER_ATLAS         | dosar           |        80 |         7 |       -12 |       1.9 |         -4 |     67.71 | -2.72 |    85 |    -3
  335 | OU_OSCER_ATLAS         | dosar           |        95 |         0 |        -1 |         0 |        -45 |      0.00 | -94.90 |     0 |  -100
  336 | OU_OSCER_ATLAS         | dosar           |        96 |       225 |      -177 |       4.1 |         -5 |     64.01 | -5.79 |    67 |    -6
  337 | OU_OSCER_ATLAS         | dosar           |       100 |         1 |       -21 |       3.7 |        -38 |     17.66 | -59.34 |    18 |   -59
  338 | OU_OSCER_ATLAS         | dosar           |       120 |         8 |       -30 |      17.9 |       -154 |    114.13 | -4.46 |    95 |    -4
  339 | OU_OSCER_ATLAS         | dosar           |       140 |        68 |       -63 |     132.7 |        -66 |    127.74 |  0.18 |    91 |     0
  340 | OU_OSCER_ATLAS         | dosar           |       144 |         1 |        -1 |       1.6 |        -94 |      0.00 | -4.75 |     0 |    -3
  341 | OU_OSCER_ATLAS         | dosar           |       160 |         1 |        -3 |       0.1 |          0 |    151.36 | 151.36 |    95 |    95
  342 | OU_OSCER_ATLAS         | dosar           |       180 |         1 |         0 |      16.2 |          5 |    152.53 | -3.70 |    85 |    -2
  343 | OU_OSCER_ATLAS         | dosar           |       192 |        10 |         9 |       1.3 |          1 |     24.44 | 24.40 |    13 |    13
  344 | OU_OSCER_ATLAS         | dosar           |       200 |         0 |        -6 |         0 |        -53 |      0.00 | -19.02 |     0 |   -10
  345 | OU_OSCER_ATLAS         | dosar           |       240 |         2 |        -6 |       2.1 |         -3 |    238.45 |  1.39 |    99 |     0
  346 | OU_OSCER_ATLAS         | dosar           |       260 |         0 |       -27 |         0 |        -85 |      0.00 | -244.26 |     0 |   -94
  347 | OU_OSCER_ATLAS         | dosar           |       264 |         0 |        -1 |         0 |          0 |      0.00 |  0.00 |     0 |     0
  348 | OU_OSCER_ATLAS         | dosar           |       300 |         2 |         0 |       0.3 |          0 |     92.59 | -174.85 |    31 |   -58
  349 | OU_OSCER_ATLAS         | dosar           |       312 |         0 |        -1 |         0 |          0 |      0.00 | -309.64 |     0 |   -99
  350 | OU_OSCER_ATLAS         | dosar           |       320 |       135 |      -106 |      22.5 |        -29 |    281.48 | 11.18 |    88 |     4
  351 | OU_OSCER_ATLAS         | dosar           |       400 |         1 |        -6 |         0 |        -12 |    160.53 | 63.17 |    40 |    16
  352 | OU_OSCER_ATLAS         | dosar           |       408 |         0 |        -1 |         0 |          0 |      0.00 | -0.02 |     0 |     0
  353 | OU_OSCER_ATLAS         | dosar           |       440 |         3 |         0 |      39.9 |          7 |    173.77 | -99.26 |    39 |   -23
  354 | OU_OSCER_ATLAS         | dosar           |       520 |         0 |        -1 |         0 |         -1 |      0.00 |  0.00 |     0 |     0
  355 | OU_OSCER_ATLAS         | dosar           |       600 |         3 |         1 |      39.1 |          0 |     29.05 | -280.53 |     5 |   -47
  356 | OU_OSCER_ATLAS         | dosar           |       640 |         8 |         4 |      62.7 |         53 |    634.44 | -1.91 |    99 |     0
  357 | OU_OSCER_ATLAS         | dosar           |       860 |         1 |        -3 |       6.3 |        -29 |    610.30 | 292.78 |    71 |    34
  358 | OU_OSCER_ATLAS         | dosar           |      1152 |         2 |       -19 |       1.9 |         -7 |   1144.31 | 210.38 |    99 |    18
  359 | Purdue-Carter          | cms             |         1 |     1,402 |    -2,395 |      43.7 |        -51 |      0.12 | -0.01 |    12 |    -1
  360 | Purdue-Carter          | cms             |         8 |     7,646 |   -15,826 |  21,883.0 |    -43,600 |      4.91 | -0.14 |    61 |    -2
  361 | Purdue-Hadoop-CE       | atlas           |         1 |     1,080 |    -1,219 |     716.0 |       -233 |      0.29 |  0.04 |    29 |     4
  362 | Purdue-Hadoop-CE       | cms             |         1 |     1,684 |    -4,173 |   4,985.2 |     -7,129 |      0.75 | -0.01 |    75 |    -1
  363 | Purdue-Hadoop-CE       | hcc             |         1 |       266 |      -170 |   1,285.1 |     -1,255 |      0.43 | -0.17 |    43 |   -17
  364 | Purdue-Hadoop-CE       | nanohub         |         1 |        47 |      -440 |       8.7 |       -122 |      0.01 | -0.11 |     1 |   -11
  365 | Purdue-Hadoop-CE       | osg             |         1 |       229 |      -676 |   1,171.7 |     -3,456 |      0.34 | -0.27 |    34 |   -27
  366 | Purdue-Hadoop-CE       | sbgrid          |         1 |         0 |      -175 |         0 |     -1,597 |      0.00 | -0.71 |     0 |   -71
  367 | Purdue-Hadoop-HT-PBS-CE | cms             |         1 |     3,017 |    -4,805 |      78.1 |       -106 |      0.45 |  0.02 |    45 |     2
  368 | Purdue-Hadoop-HTCE     | cms             |         1 |     1,477 |    -4,053 |   3,677.2 |     -9,223 |      0.74 | -0.07 |    74 |    -7
  369 | Purdue-Hammer-CE       | cms             |         1 |     1,486 |    -2,281 |      38.8 |        -72 |      0.13 |  0.04 |    13 |     4
  370 | Purdue-Hammer-CE       | cms             |        10 |     2,946 |    -4,508 |  37,833.9 |    -48,386 |      4.58 | -0.86 |    46 |    -8
  371 | Purdue-Rice            | cms             |         8 |     1,090 |    -1,825 |      22.1 |        -26 |      0.16 |  0.01 |     2 |     0
  372 | Purdue-Rice            | cms             |        10 |     5,552 |   -12,949 |   7,168.2 |    -20,211 |      4.15 | -0.01 |    41 |    -1
  373 | SBGrid-Glidein         | sbgrid          |         1 |         4 |  -237,647 |         0 |    -55,469 |      0.10 | -0.80 |    10 |   -80
  374 | SPRACE                 | cms             |         1 |     2,504 |    -3,470 |   9,843.9 |    -16,561 |      0.62 |  0.36 |    62 |    36
  375 | SPRACE                 | glow            |         1 |       928 |        37 |   6,729.5 |      1,049 |      0.47 |  0.46 |    47 |    46
  376 | SPRACE                 | hcc             |         1 |       516 |    -3,452 |     222.2 |     -1,745 |      0.01 |  0.00 |     1 |     0
  377 | SPRACE                 | nanohub         |         1 |        87 |      -787 |      30.8 |       -511 |      0.07 | -0.37 |     7 |   -37
  378 | SPRACE                 | osg             |         1 |       306 |       238 |  11,521.5 |     10,003 |      0.42 |  0.30 |    42 |    30
  379 | SPRACE                 | sbgrid          |         1 |         0 |      -181 |         0 |     -1,339 |      0.00 | -0.47 |     0 |   -47
  380 | SPTConnect             | spt-connect (nr) |         1 |         0 |   -10,746 |         0 |       -380 |      0.00 | -0.35 |     0 |   -35
  381 | SPTConnect             | spt-connect (nr) |        12 |         0 |      -274 |         0 |        -16 |      0.00 | -0.75 |     0 |    -6
