START TIME      	DURATION (s)
2015-05-12 03:43:00	721
2015-05-12 03:55:07	894
2015-05-12 04:13:48	73
2015-05-12 04:17:09	1072
2015-05-12 04:35:11	1190
2015-05-12 09:14:57	604
2015-05-12 09:29:40	621
2015-05-12 09:43:47	74
2015-05-12 09:49:57	4
2015-05-12 09:53:43	78
2015-05-12 09:59:37	25
2015-05-12 10:04:43	18
2015-05-12 10:09:52	9
2015-05-12 10:13:29	92
2015-05-12 10:17:46	435
2015-05-12 10:28:42	979
2015-05-12 10:49:34	27
2015-05-12 10:54:24	37
2015-05-12 10:59:56	6
2015-05-12 11:04:50	11
2015-05-12 11:08:40	82
2015-05-12 11:14:22	39
2015-05-12 11:18:11	110
2015-05-12 11:24:56	5
2015-05-12 11:28:50	671
2015-05-12 11:40:25	1177
2015-05-12 12:01:46	795
2015-05-12 12:15:03	900
2015-05-12 12:34:40	21
2015-05-12 12:39:56	5
2015-05-12 12:44:39	22
2015-05-12 12:49:00	62
2015-05-12 12:53:39	383
2015-05-12 13:03:43	678
2015-05-12 13:23:48	73
2015-05-12 13:28:51	70
2015-05-12 13:33:54	67
2015-05-12 13:39:27	34
2015-05-12 13:44:42	19
2015-05-12 13:49:44	17
2015-05-12 13:50:19	583
2015-05-12 14:02:42	1040
2015-05-12 14:22:53	128
2015-05-12 14:29:11	50
2015-05-12 14:30:17	585
2015-05-12 14:42:47	734
2015-05-12 14:59:55	7
2015-05-12 15:00:30	572
2015-05-12 15:13:31	990
2015-05-12 15:34:14	47
2015-05-12 15:38:13	708
2015-05-12 15:50:57	844
2015-05-12 16:08:00	122
2015-05-12 16:11:34	508
2015-05-12 16:22:09	473
2015-05-12 16:34:36	25
2015-05-12 16:36:46	495
2015-05-12 16:47:54	727
2015-05-12 17:02:39	442
2015-05-12 17:14:23	638
2015-05-12 17:29:09	52
2015-05-12 17:34:37	624
2015-05-12 17:46:35	807
2015-05-12 18:04:24	337
2015-05-12 18:16:15	526
2015-05-12 18:29:58	4
2015-05-12 18:32:23	459
2015-05-12 18:41:59	782
2015-05-12 18:57:53	729
2015-05-12 19:10:56	845
2015-05-12 19:27:28	453
2015-05-12 19:38:01	720
2015-05-12 19:54:15	47
2015-05-12 19:56:22	1119
2015-05-12 20:15:43	558
2015-05-12 20:27:37	745
2015-05-12 20:42:01	180
2015-05-12 20:46:11	530
2015-05-12 20:55:21	881
2015-05-12 21:12:39	142
2015-05-12 21:16:18	523
2015-05-12 21:28:34	1287
2015-05-12 21:51:09	232
2015-05-12 21:56:05	536
2015-05-12 22:05:05	296
2015-05-12 22:09:23	938
2015-05-12 22:10:40	261
2015-05-12 22:17:53	1929
2015-05-12 22:27:27	154
2015-05-12 22:33:21	1001
2015-05-12 22:50:33	568
2015-05-12 22:54:34	1227
2015-05-12 23:04:29	32
2015-05-12 23:05:03	898
2015-05-12 23:08:50	71
2015-05-12 23:14:29	32
2015-05-12 23:16:23	1118
2015-05-12 23:17:31	150
2015-05-12 23:20:45	557
2015-05-12 23:22:59	122
2015-05-12 23:29:00	62
2015-05-12 23:33:22	99
2015-05-12 23:34:24	1537
2015-05-12 23:38:33	88
2015-05-12 23:39:01	960
2015-05-12 23:43:21	700
2015-05-12 23:55:42	2659
2015-05-12 23:55:42	2659
2015-05-13 00:02:45	436
2015-05-13 00:14:32	29
2015-05-13 00:18:30	91
2015-05-13 00:24:59	2103
2015-05-13 00:42:58	1323
2015-05-13 00:42:58	2824
2015-05-13 01:04:30	2731
2015-05-13 01:05:58	1143
2015-05-13 01:28:36	985
2015-05-13 01:33:25	1296
2015-05-13 01:48:53	368
2015-05-13 01:53:05	116
2015-05-13 01:56:29	212
2015-05-13 01:56:29	212
2015-05-13 01:57:37	144
2015-05-13 02:03:44	377
2015-05-13 02:04:04	657
2015-05-13 02:04:18	643
2015-05-13 02:13:46	375
2015-05-13 02:15:33	568
2015-05-13 02:15:34	567
2015-05-13 02:20:25	276
2015-05-13 02:29:55	606
2015-05-13 02:29:55	606
2015-05-13 02:29:55	606
2015-05-13 02:42:59	1023
2015-05-13 02:42:59	1023
2015-05-13 02:42:59	722
2015-05-13 02:58:02	1320
2015-05-13 03:03:04	1018
2015-05-13 03:03:08	1014
2015-05-13 03:22:21	1061
2015-05-13 03:22:23	1059
2015-05-13 03:22:25	1057
2015-05-13 03:41:44	1099
2015-05-13 03:41:46	1097
2015-05-13 03:41:50	1093
2015-05-13 04:01:14	1427
2015-05-13 04:01:17	1424
2015-05-13 04:01:22	1419
2015-05-13 04:25:11	1190
2015-05-13 04:25:12	1189
2015-05-13 04:25:15	1186
2015-05-13 04:45:10	892
2015-05-13 04:45:10	892
2015-05-13 04:45:10	892
2015-05-13 05:00:05	596
2015-05-13 05:00:05	596
2015-05-13 05:00:06	595
2015-05-13 05:14:22	639
2015-05-13 05:14:22	639
2015-05-13 05:14:22	639
2015-05-13 05:28:43	79
2015-05-13 05:28:43	79
2015-05-13 05:28:43	79
2015-05-13 05:33:20	701
2015-05-13 05:33:21	700
2015-05-13 05:33:22	699
2015-05-13 05:47:26	755
2015-05-13 05:47:32	749
2015-05-13 05:47:33	748
2015-05-13 06:00:53	548
2015-05-13 06:01:01	540
2015-05-13 06:01:01	540
2015-05-13 06:14:25	636
2015-05-13 06:14:25	636
2015-05-13 06:14:26	635
2015-05-13 06:25:33	568
2015-05-13 06:26:10	531
2015-05-13 06:26:14	527
2015-05-13 06:37:54	427
2015-05-13 06:38:04	417
2015-05-13 06:38:21	400
2015-05-13 06:45:53	248
2015-05-13 06:46:07	234
2015-05-13 06:46:15	226
2015-05-13 06:53:14	707
2015-05-13 06:53:19	702
2015-05-13 06:53:21	700
2015-05-13 07:06:06	835
2015-05-13 07:06:12	829
2015-05-13 07:06:12	829
2015-05-13 07:20:54	847
2015-05-13 07:21:02	839
2015-05-13 07:21:03	838
2015-05-13 07:36:44	1397
2015-05-13 07:36:49	1392
2015-05-13 07:36:49	1392
2015-05-13 08:00:35	1766
2015-05-13 08:00:39	1762
2015-05-13 08:00:39	1762
2015-05-13 08:30:04	1197
2015-05-13 08:30:09	1192
2015-05-13 08:30:09	1192
2015-05-13 08:54:08	1253
2015-05-13 08:54:08	953
2015-05-13 08:54:09	1252
2015-05-13 09:12:11	1070
2015-05-13 09:15:35	566
2015-05-13 09:15:35	866
2015-05-13 09:28:31	990
2015-05-13 09:31:14	827
2015-05-13 09:31:15	826
2015-05-13 09:48:33	690
2015-05-13 09:48:43	680
2015-05-13 09:48:45	976
2015-05-13 10:02:05	776
2015-05-13 10:04:27	934
2015-05-13 10:05:29	872
2015-05-13 10:18:19	1002
2015-05-13 10:20:46	855
2015-05-13 10:21:01	840
2015-05-13 10:35:43	859
2015-05-13 10:35:43	859
2015-05-13 10:35:44	858
2015-05-13 10:53:29	692
2015-05-13 10:53:29	692
2015-05-13 10:53:30	691
2015-05-13 11:08:01	420
2015-05-13 11:09:26	335
2015-05-13 11:09:30	331
