[ahkumar@smuosg1 ~]$ condor_q


-- Submitter: smuosg1.hpc.smu.edu : <10.1.1.3:50503> : smuosg1.hpc.smu.edu
 ID      OWNER            SUBMITTED     RUN_TIME ST PRI SIZE CMD
663531.0   osg            12/30 06:46  20+05:33:12 H  0   1220.7 data
663532.0   osg            12/30 06:46  20+06:03:24 H  0   976.6 data
663533.0   osg            12/30 06:46  20+05:32:20 H  0   1220.7 data
663536.0   osg            12/30 06:46  20+05:02:10 H  0   1464.8 data
663537.0   osg            12/30 06:46  19+20:30:32 H  0   1220.7 data
663544.0   osg            12/30 06:59  20+23:26:09 H  0   415.0 data
663554.0   osg            12/30 07:06  20+23:41:38 H  0   415.0 data
663555.0   osg            12/30 07:06  20+23:25:28 H  0   415.0 data
663557.0   osg            12/30 07:08  20+05:02:03 H  0   1220.7 data
663561.0   osg            12/30 07:08  20+23:46:01 H  0   390.6 data
663562.0   osg            12/30 07:08  20+04:03:51 H  0   1220.7 data
663566.0   osg            12/30 07:16  20+23:25:18 H  0   415.0 data
663575.0   osg            12/30 07:32  20+23:11:57 H  0   1220.7 data
663576.0   osg            12/30 07:32  20+23:23:05 H  0   976.6 data
663583.0   osg            12/30 07:39  20+23:30:39 H  0   1220.7 data
663584.0   osg            12/30 07:39  20+23:26:47 H  0   1220.7 data
663589.0   osg            12/30 07:41  20+23:05:02 H  0   1220.7 data
663598.0   osg            12/30 07:47  20+22:59:21 H  0   1220.7 data
663610.0   osg            12/30 07:49  20+22:54:13 H  0   1220.7 data
663613.0   osg            12/30 07:54  19+20:16:02 H  0   1220.7 data
663617.0   osg            12/30 07:56  20+22:40:36 H  0   976.6 data
663623.0   osg            12/30 08:01  20+22:32:48 H  0   1220.7 data
663628.0   osg            12/30 08:01  20+22:30:04 H  0   1220.7 data
663629.0   osg            12/30 08:01  20+22:21:16 H  0   1220.7 data
663633.0   osg            12/30 08:03  20+22:05:03 H  0   976.6 data
663645.0   osg            12/30 08:09  20+03:05:00 H  0   1220.7 data
663646.0   osg            12/30 08:09  20+03:37:41 H  0   1220.7 data
663649.0   osg            12/30 08:11  20+21:54:46 H  0   1220.7 data
663652.0   osg            12/30 08:11  20+21:51:01 H  0   1220.7 data
663657.0   osg            12/30 08:11  20+21:15:19 H  0   1220.7 data
663666.0   osg            12/30 08:23  20+02:49:59 H  0   1220.7 data
663672.0   osg            12/30 08:31  20+02:26:18 H  0   1220.7 data
663674.0   osg            12/30 08:31  20+01:25:13 H  0   1220.7 data
663676.0   osg            12/30 08:31  20+19:46:31 H  0   1220.7 data
663696.0   osg            12/30 08:38  20+02:12:45 H  0   1220.7 data
663702.0   osg            12/30 08:41  20+20:29:21 H  0   1220.7 data
663703.0   osg            12/30 08:41  20+20:36:43 H  0   976.6 data
663709.0   osg            12/30 09:07  20+19:08:48 H  0   1220.7 data
663710.0   osg            12/30 09:07  20+02:55:19 H  0   1220.7 data
663712.0   osg            12/30 09:07  20+01:14:23 H  0   1220.7 data
663714.0   osg            12/30 09:07  19+19:09:00 H  0   1220.7 data
663728.0   osg            12/30 09:42  20+20:13:10 H  0   976.6 data
663733.0   osg            12/30 09:42  20+20:20:04 H  0   1220.7 data
663744.0   osg            12/30 10:12  20+01:07:42 H  0   1220.7 data
663746.0   osg            12/30 10:12  19+17:49:09 H  0   1220.7 data
663755.0   osg            12/30 10:20  20+18:12:06 H  0   1220.7 data
663756.0   osg            12/30 10:20  20+18:12:08 H  0   1220.7 data
663766.0   osg            12/30 10:27  20+19:48:17 H  0   976.6 data
663771.0   osg            12/30 10:34  20+01:15:01 H  0   1220.7 data
663775.0   osg            12/30 10:42  20+01:03:17 H  0   976.6 data
663781.0   osg            12/30 10:55  20+02:31:14 H  0   976.6 data
663786.0   osg            12/30 10:56  20+19:17:12 H  0   732.4 data
663794.0   osg            12/30 11:09  20+17:53:59 H  0   415.0 data
663796.0   osg            12/30 11:11  20+19:11:31 H  0   415.0 data
663803.0   osg            12/30 11:17  20+17:49:27 H  0   1220.7 data
663809.0   osg            12/30 11:19  20+18:59:00 H  0   390.6 data
663813.0   osg            12/30 11:19  20+19:04:29 H  0   1220.7 data
663824.0   osg            12/30 11:26  20+19:16:25 H  0   488.3 data
663827.0   osg            12/30 11:34  20+19:04:45 H  0   390.6 data
663836.0   osg            12/30 11:38  19+23:23:44 H  0   1220.7 data
663839.0   osg            12/30 11:38  19+23:36:03 H  0   1220.7 data
663841.0   osg            12/30 11:41  20+18:40:09 H  0   1220.7 data
663842.0   osg            12/30 11:41  20+18:14:41 H  0   1220.7 data
663852.0   osg            12/30 11:46  19+21:37:43 H  0   976.6 data
663858.0   osg            12/30 11:53  19+21:50:46 H  0   1220.7 data
663878.0   osg            12/30 12:05  20+16:11:39 H  0   1220.7 data
663879.0   osg            12/30 12:05  20+16:09:30 H  0   1220.7 data
663881.0   osg            12/30 12:08  20+16:25:05 H  0   1220.7 data
663888.0   osg            12/30 12:12  20+15:56:31 H  0   976.6 data
663890.0   osg            12/30 12:15  19+12:34:56 H  0   1220.7 data
663899.0   osg            12/30 12:20  20+15:16:11 H  0   415.0 data
663910.0   osg            12/30 12:27  20+14:24:34 H  0   1220.7 data
663911.0   osg            12/30 12:27  20+14:14:59 H  0   1220.7 data
663912.0   osg            12/30 12:27  20+14:17:30 H  0   1220.7 data
663919.0   osg            12/30 13:00  19+19:41:43 H  0   1220.7 data
663938.0   osg            12/30 13:58  20+11:31:13 H  0   488.3 data
663940.0   osg            12/30 13:58  20+11:31:11 H  0   488.3 data
663943.0   osg            12/30 14:05  19+18:05:04 H  0   1220.7 data
663950.0   osg            12/30 14:09  20+13:00:26 H  0   1220.7 data
663952.0   osg            12/30 14:20  19+18:57:02 H  0   976.6 data
663967.0   osg            12/30 15:10  20+11:58:01 H  0   1220.7 data
663971.0   osg            12/30 15:17  19+09:37:23 H  0   1220.7 data
663978.0   osg            12/30 15:24  19+17:32:39 H  0   1220.7 data
663985.0   osg            12/30 15:46  19+15:55:52 H  0   1220.7 data
663991.0   osg            12/30 15:54  19+16:56:10 H  0   1220.7 data
663992.0   osg            12/30 15:54  19+09:45:46 H  0   1220.7 data
663994.0   osg            12/30 15:54  19+16:38:24 H  0   1220.7 data
663995.0   osg            12/30 15:54  19+17:29:13 H  0   976.6 data
664034.0   osg             1/20 14:23   0+08:23:56 H  0   1220.7 data
664082.0   osg             1/20 14:39   0+07:56:15 H  0   390.6 data
667155.0   osg             1/28 04:50   0+10:53:35 H  0   976.6 data
667172.0   osg             1/28 04:56   0+10:47:05 H  0   390.6 data
667187.0   osg             1/28 05:25   0+10:17:58 H  0   976.6 data
667188.0   osg             1/28 05:25   0+10:17:59 H  0   976.6 data
667192.0   osg             1/28 05:30   0+10:12:45 H  0   1220.7 data
667233.0   osg             1/28 06:46   0+08:56:45 H  0   1220.7 data
667263.0   osg             1/28 07:14   0+08:29:25 H  0   390.6 data
667264.0   osg             1/28 07:14   0+08:29:26 H  0   390.6 data
667267.0   osg             1/28 07:19   0+08:24:05 H  0   976.6 data
667279.0   osg             1/28 07:44   0+07:59:30 H  0   976.6 data
667287.0   osg             1/28 08:11   0+07:32:56 H  0   732.4 data
667328.0   osg             1/28 09:52   0+05:51:46 H  0   976.6 data
667330.0   osg             1/28 09:52   0+05:51:46 H  0   732.4 data
667337.0   osg             1/28 10:05   0+05:37:50 H  0   976.6 data
667339.0   osg             1/28 10:05   0+05:37:50 H  0   390.6 data
667341.0   osg             1/28 10:07   0+05:36:04 H  0   1220.7 data
667349.0   osg             1/28 10:25   0+05:18:24 H  0   488.3 data
667394.0   osg             1/28 11:59   0+03:44:03 H  0   976.6 data
667451.0   osg             1/28 14:00   0+01:43:30 H  0   976.6 data
669879.0   osg             2/2  02:52   0+23:14:47 H  0   976.6 data
669895.0   osg             2/2  04:02   0+22:05:15 H  0   1220.7 data
669902.0   osg             2/2  04:10   0+21:57:24 H  0   976.6 data
669911.0   osg             2/2  04:25   0+21:42:19 H  0   976.6 data
669912.0   osg             2/2  04:25   0+21:42:19 H  0   976.6 data
669914.0   osg             2/2  04:25   0+21:42:19 H  0   976.6 data
669936.0   osg             2/2  05:45   0+20:22:28 H  0   1220.7 data
669938.0   osg             2/2  05:45   0+20:22:28 H  0   976.6 data
669949.0   osg             2/2  05:56   0+20:11:03 H  0   1220.7 data
669950.0   osg             2/2  06:01   0+20:05:40 H  0   1220.7 data
669961.0   osg             2/2  06:22   0+19:45:26 H  0   1220.7 data
669964.0   osg             2/2  06:22   0+19:45:05 H  0   976.6 data
669965.0   osg             2/2  06:22   0+19:45:05 H  0   976.6 data
669966.0   osg             2/2  06:22   0+19:45:06 H  0   1220.7 data
669967.0   osg             2/2  06:22   0+19:45:05 H  0   976.6 data
669968.0   osg             2/2  06:22   0+19:45:05 H  0   1220.7 data
669969.0   osg             2/2  06:22   0+19:45:05 H  0   976.6 data
669978.0   osg             2/2  06:36   0+19:31:27 H  0   1220.7 data
669979.0   osg             2/2  06:36   0+19:31:27 H  0   976.6 data
669992.0   osg             2/2  07:17   0+18:49:56 H  0   1220.7 data
669993.0   osg             2/2  07:17   0+18:49:55 H  0   976.6 data
669998.0   osg             2/2  07:19   0+18:48:31 H  0   976.6 data
670003.0   osg             2/2  07:34   0+18:33:48 H  0   976.6 data
670004.0   osg             2/2  07:34   0+18:33:48 H  0   1220.7 data
670007.0   osg             2/2  07:44   0+18:03:05 H  0   1220.7 data
670009.0   osg             2/2  07:49   0+18:02:04 H  0   1220.7 data
670010.0   osg             2/2  08:01   0+18:02:03 H  0   1220.7 data
670011.0   osg             2/2  08:05   0+18:01:42 H  0   976.6 data
670015.0   osg             2/2  08:19   0+17:48:40 H  0   1220.7 data
670024.0   osg             2/2  08:37   0+17:30:18 H  0   1220.7 data
670025.0   osg             2/2  08:37   0+17:30:18 H  0   976.6 data
670028.0   osg             2/2  08:47   0+17:20:03 H  0   1220.7 data
670049.0   osg             2/2  09:53   0+16:14:28 H  0   976.6 data
670088.0   osg             2/2  11:13   0+14:54:04 H  0   1220.7 data
670095.0   osg             2/2  11:28   0+10:34:54 H  0   976.6 data
670096.0   osg             2/2  11:28   0+10:34:53 H  0   976.6 data
670104.0   osg             2/2  11:50   0+10:34:53 H  0   1220.7 data
670105.0   osg             2/2  11:50   0+10:34:53 H  0   1220.7 data
670107.0   osg             2/2  11:50   0+10:34:53 H  0   976.6 data
670109.0   osg             2/2  11:52   0+10:34:53 H  0   1220.7 data
670110.0   osg             2/2  12:00   0+10:34:52 H  0   976.6 data
670120.0   osg             2/2  12:22   0+10:34:52 H  0   976.6 data
670123.0   osg             2/2  12:24   0+10:34:53 H  0   732.4 data
670125.0   osg             2/2  12:33   0+10:34:52 H  0   976.6 data
670131.0   osg             2/2  12:45   0+10:34:52 H  0   976.6 data
670133.0   osg             2/2  12:45   0+10:34:52 H  0   976.6 data
670145.0   osg             2/2  13:19   0+10:34:52 H  0   976.6 data
670148.0   osg             2/2  13:19   0+10:34:52 H  0   976.6 data
670149.0   osg             2/2  13:19   0+10:34:52 H  0   732.4 data
670151.0   osg             2/2  13:19   0+10:34:52 H  0   1220.7 data
670153.0   osg             2/2  13:19   0+10:34:52 H  0   976.6 data
670199.0   osg             2/2  15:09   0+10:34:52 H  0   976.6 data
670202.0   osg             2/2  15:09   0+10:34:54 H  0   732.4 data
670204.0   osg             2/2  15:25   0+10:34:53 H  0   976.6 data
670213.0   osg             2/2  15:45   0+10:19:34 H  0   976.6 data
670224.0   osg             2/2  16:06   0+10:00:44 H  0   976.6 data
670225.0   osg             2/2  16:06   0+10:00:44 H  0   976.6 data
670227.0   osg             2/2  16:06   0+10:00:44 H  0   976.6 data
670231.0   osg             2/2  16:06   0+10:00:44 H  0   976.6 data
670233.0   osg             2/2  16:06   0+10:00:44 H  0   976.6 data
670238.0   osg             2/2  16:20   0+09:47:16 H  0   732.4 data
670245.0   osg             2/2  16:33   0+09:34:42 H  0   976.6 data
670255.0   osg             2/2  16:59   0+09:07:43 H  0   976.6 data
670262.0   osg             2/2  17:16   0+08:51:42 H  0   1220.7 data
670269.0   osg             2/2  17:17   0+08:49:58 H  0   732.4 data
670271.0   osg             2/2  17:17   0+08:49:59 H  0   976.6 data
670281.0   osg             2/2  17:52   0+08:15:17 H  0   976.6 data
670282.0   osg             2/2  17:52   0+08:15:15 H  0   976.6 data
670286.0   osg             2/2  17:52   0+08:15:15 H  0   1220.7 data
670291.0   osg             2/2  18:18   0+07:49:30 H  0   976.6 data
670296.0   osg             2/2  18:18   0+07:49:08 H  0   976.6 data
670298.0   osg             2/2  18:18   0+07:48:48 H  0   1220.7 data
670305.0   osg             2/2  19:03   0+07:03:43 H  0   1220.7 data
670309.0   osg             2/2  19:03   0+07:03:42 H  0   1220.7 data
670310.0   osg             2/2  19:03   0+07:03:43 H  0   976.6 data
670311.0   osg             2/2  19:03   0+07:03:42 H  0   976.6 data
670312.0   osg             2/2  19:03   0+07:03:42 H  0   732.4 data
670316.0   osg             2/2  19:09   0+06:58:27 H  0   976.6 data
670318.0   osg             2/2  19:09   0+06:58:27 H  0   976.6 data
670319.0   osg             2/2  19:09   0+06:58:27 H  0   976.6 data
670323.0   osg             2/2  19:14   0+06:53:04 H  0   976.6 data
670324.0   osg             2/2  19:14   0+06:53:03 H  0   976.6 data
670325.0   osg             2/2  19:14   0+06:53:03 H  0   976.6 data
670328.0   osg             2/2  19:15   0+06:52:04 H  0   976.6 data
670334.0   osg             2/2  19:45   0+06:21:37 H  0   976.6 data
670342.0   osg             2/2  20:09   0+05:57:33 H  0   976.6 data
670345.0   osg             2/2  20:10   0+05:57:31 H  0   976.6 data
670351.0   osg             2/2  20:46   0+05:21:20 H  0   976.6 data
670352.0   osg             2/2  20:46   0+05:21:20 H  0   976.6 data
670358.0   osg             2/2  20:51   0+05:15:46 H  0   976.6 data
670365.0   osg             2/2  20:56   0+05:10:54 H  0   976.6 data
670366.0   osg             2/2  20:56   0+05:10:54 H  0   976.6 data
670367.0   osg             2/2  20:56   0+05:10:53 H  0   976.6 data
670368.0   osg             2/2  20:56   0+05:10:53 H  0   1220.7 data
670373.0   osg             2/2  20:58   0+05:09:42 H  0   976.6 data
670376.0   osg             2/2  21:08   0+03:59:15 H  0   976.6 data
670380.0   osg             2/2  21:09   0+03:59:16 H  0   732.4 data
670381.0   osg             2/2  21:09   0+03:59:14 H  0   976.6 data
670383.0   osg             2/2  21:09   0+03:59:14 H  0   976.6 data
670391.0   osg             2/2  21:37   0+03:59:14 H  0   1220.7 data
670399.0   osg             2/2  21:42   0+03:59:14 H  0   976.6 data
670410.0   osg             2/2  22:00   0+03:59:14 H  0   976.6 data
670412.0   osg             2/2  22:00   0+03:59:14 H  0   1220.7 data
670414.0   osg             2/2  22:00   0+03:59:15 H  0   976.6 data
670419.0   osg             2/2  22:15   0+03:59:14 H  0   976.6 data
670420.0   osg             2/2  22:15   0+03:59:14 H  0   732.4 data
670421.0   osg             2/2  22:15   0+03:59:13 H  0   976.6 data
670424.0   osg             2/2  22:26   0+03:59:14 H  0   976.6 data
670453.0   osg             2/4  16:50   0+03:46:57 H  0   976.6 data
670454.0   osg             2/4  16:50   0+03:46:57 H  0   976.6 data
670456.0   osg             2/4  16:50   0+03:46:36 H  0   976.6 data
670457.0   osg             2/4  16:50   0+03:46:36 H  0   976.6 data
670478.0   osg             2/4  17:12   0+03:23:56 H  0   1220.7 data
670485.0   osg             2/4  17:21   0+03:15:39 H  0   976.6 data
670500.0   osg             2/4  17:31   0+03:05:05 H  0   1220.7 data
670503.0   osg             2/4  17:32   0+03:04:21 H  0   976.6 data
670504.0   osg             2/4  17:32   0+03:04:21 H  0   976.6 data
670505.0   osg             2/4  17:32   0+03:04:21 H  0   976.6 data
670511.0   osg             2/4  17:38   0+01:59:41 H  0   732.4 data
670529.0   osg             2/4  18:00   0+01:59:40 H  0   976.6 data
670530.0   osg             2/4  18:00   0+01:59:39 H  0   976.6 data
670557.0   osg             2/4  18:10   0+01:59:40 H  0   732.4 data
670559.0   osg             2/4  18:11   0+01:59:39 H  0   1220.7 data
670560.0   osg             2/4  18:11   0+01:59:39 H  0   732.4 data
670573.0   osg             2/4  18:37   0+01:59:39 H  0   732.4 data
670575.0   osg             2/4  18:37   0+01:59:39 H  0   976.6 data
670576.0   osg             2/4  18:37   0+01:59:39 H  0   976.6 data
670582.0   osg             2/4  18:37   0+01:59:39 H  0   976.6 data
670584.0   osg             2/4  18:37   0+01:59:39 H  0   732.4 data
670585.0   osg             2/4  18:37   0+01:59:39 H  0   732.4 data
670589.0   osg             2/4  18:42   0+01:59:38 H  0   976.6 data
670590.0   osg             2/4  18:42   0+01:59:38 H  0   732.4 data
670591.0   osg             2/4  18:42   0+01:59:39 H  0   976.6 data
670597.0   osg             2/4  18:45   0+01:59:38 H  0   976.6 data
670599.0   osg             2/4  18:45   0+01:59:38 H  0   976.6 data
670606.0   osg             2/4  19:01   0+01:59:38 H  0   976.6 data
670612.0   osg             2/4  19:02   0+01:59:38 H  0   976.6 data
670628.0   osg             2/5  12:13   0+01:43:01 H  0   732.4 data
670633.0   osg             2/5  12:19   0+01:37:18 H  0   976.6 data
670636.0   osg             2/5  12:19   0+01:37:18 H  0   976.6 data
670637.0   osg             2/5  12:19   0+01:36:56 H  0   732.4 data
670639.0   osg             2/5  12:19   0+01:36:56 H  0   976.6 data
670646.0   osg             2/5  12:26   0+01:30:49 H  0   1220.7 data
670654.0   osg             2/5  12:51   0+01:04:42 H  0   390.6 data
670656.0   osg             2/5  13:02   0+00:00:01 H  0   976.6 data
670663.0   osg             2/5  13:08   0+00:00:00 H  0   976.6 data
670668.0   osg             2/5  13:13   0+00:00:00 H  0   97.7 data
670669.0   osg             2/5  13:13   0+00:00:00 H  0   97.7 data
670674.0   osg             2/5  13:34   0+00:00:00 H  0   97.7 data
670675.0   osg             2/5  13:34   0+00:00:00 H  0   97.7 data
670677.0   osg             2/5  13:34   0+00:00:00 H  0   97.7 data
670683.0   osg             2/5  14:13   0+00:00:00 H  0   732.4 data
670684.0   osg             2/5  14:13   0+00:00:00 H  0   97.7 data
670686.0   osg             2/5  14:13   0+00:00:00 H  0   732.4 data
670691.0   osg             2/5  14:23   0+00:00:00 H  0   97.7 data
670692.0   osg             2/5  14:23   0+00:00:00 H  0   97.7 data
670696.0   osg             2/5  14:24   0+00:00:00 H  0   97.7 data
670697.0   osg             2/5  14:24   0+00:00:00 H  0   97.7 data
670698.0   osg             2/5  14:24   0+00:00:00 H  0   97.7 data
672537.0   osg             2/9  14:15   0+20:51:27 R  0   1220.7 data
672601.0   osg             2/9  16:45   0+18:21:03 R  0   2685.5 data
672608.0   osg             2/9  16:52   0+18:14:46 R  0   2685.5 data
672632.0   osg             2/9  18:14   0+16:52:52 R  0   488.3 data
672644.0   osg             2/9  19:00   0+16:06:43 R  0   1220.7 data
672646.0   osg             2/9  19:08   0+15:58:13 R  0   1220.7 data
672649.0   osg             2/9  19:08   0+15:58:13 R  0   1220.7 data
672650.0   osg             2/9  19:08   0+15:58:13 R  0   1220.7 data
672654.0   osg             2/9  19:24   0+15:41:14 R  0   1220.7 data
672656.0   osg             2/9  19:34   0+15:32:37 R  0   976.6 data
672659.0   osg             2/9  19:52   0+15:14:39 R  0   1220.7 data
672662.0   osg             2/9  20:13   0+14:53:55 R  0   976.6 data
672664.0   osg             2/9  20:13   0+14:53:55 R  0   1220.7 data
672665.0   osg             2/9  20:13   0+14:53:55 R  0   1220.7 data
672671.0   osg             2/9  20:53   0+14:13:11 R  0   1220.7 data
672672.0   osg             2/9  20:53   0+14:13:11 R  0   1220.7 data
672674.0   osg             2/9  20:53   0+14:13:11 R  0   976.6 data
672675.0   osg             2/9  20:53   0+14:13:11 R  0   1220.7 data
672676.0   osg             2/9  21:04   0+14:02:38 R  0   976.6 data
672677.0   osg             2/9  21:04   0+14:02:38 R  0   976.6 data
672682.0   osg             2/9  21:27   0+13:39:20 R  0   1220.7 data
672684.0   osg             2/9  21:27   0+13:39:20 R  0   1220.7 data
672685.0   osg             2/9  21:27   0+13:39:20 R  0   976.6 data
672686.0   osg             2/9  21:27   0+13:39:20 R  0   976.6 data
672687.0   osg             2/9  21:27   0+13:39:20 R  0   1220.7 data
672688.0   osg             2/9  21:36   0+13:30:05 R  0   1220.7 data
672691.0   osg             2/9  21:36   0+13:30:05 R  0   1220.7 data
672693.0   osg             2/9  21:36   0+13:30:05 R  0   1220.7 data
672694.0   osg             2/9  21:36   0+13:30:05 R  0   976.6 data
672698.0   osg             2/9  22:02   0+13:04:25 R  0   976.6 data
672699.0   osg             2/9  22:02   0+13:04:25 R  0   976.6 data
672705.0   osg             2/9  22:50   0+12:16:19 R  0   976.6 data
672706.0   osg             2/9  22:50   0+12:16:19 R  0   976.6 data
672707.0   osg             2/9  22:50   0+12:16:19 R  0   976.6 data
672708.0   osg             2/9  22:50   0+12:16:19 R  0   976.6 data
672710.0   osg             2/9  22:50   0+12:16:19 R  0   976.6 data
672711.0   osg             2/9  22:50   0+12:16:19 R  0   976.6 data
672713.0   osg             2/9  22:51   0+12:14:57 R  0   1220.7 data
672716.0   osg             2/9  23:11   0+11:55:20 R  0   976.6 data
672718.0   osg             2/9  23:16   0+11:50:03 R  0   1220.7 data
672723.0   osg             2/9  23:21   0+11:45:13 R  0   976.6 data
672726.0   osg             2/9  23:21   0+11:44:52 R  0   976.6 data
672727.0   osg             2/9  23:21   0+11:44:52 R  0   976.6 data
