RecordID,@received,EndTime,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch
login05.hep.wisc.edu:3327020.689,2017-02-04T10:31:27.364Z,2017-02-04T10:15:28Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,e315.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login02.osgconnect.net:1412609.3767,2017-02-07T21:49:59.880Z,2017-02-07T21:41:59Z,Payload,condor:login02.osgconnect.net,OSG-Connect,NPX,node074.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sub-simprod.icecube.wisc.edu:11330.106,2017-02-07T08:20:28.043Z,2017-02-07T08:18:15Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,CHTC,e445.chtc.wisc.edu (primary) ,,CHTC,Success
sub-simprod.icecube.wisc.edu:25000.206,2017-02-04T01:15:32.954Z,2017-02-04T00:57:43Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,node107.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login02.osgconnect.net:3645778.105,2017-02-04T19:45:37.254Z,2017-02-04T19:24:36Z,Payload,condor:login02.osgconnect.net,OSG-Connect,GLOW,e184.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:27954.378,2017-02-07T08:45:15.917Z,2017-02-07T08:40:48Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,node129.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sugwg-osg.phy.syr.edu:2524288.3271,2017-02-05T01:46:41.997Z,2017-02-05T01:39:23Z,Payload,condor:sugwg-osg.phy.syr.edu,Syracuse,GLOW,g18n01.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:727566.1111,2017-02-04T08:38:33.710Z,2017-02-04T08:27:50Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g20n03.hep.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:25903.41,2017-02-07T23:53:20.309Z,2017-02-07T23:45:13Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,CHTC,e445.chtc.wisc.edu (primary) ,,CHTC,Success
sub-simprod.icecube.wisc.edu:24434.43,2017-02-08T00:51:38.800Z,2017-02-08T00:41:31Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c9-11.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
xd-login.opensciencegrid.org:2277551.1703,2017-02-04T21:03:38.826Z,2017-02-04T20:53:26Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e103.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:871694.982,2017-02-08T04:56:43.064Z,2017-02-08T04:38:29Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,NPX,node071.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login06.hep.wisc.edu:2672561.209,2017-02-04T10:41:17.448Z,2017-02-04T10:30:13Z,Payload,condor:login06.hep.wisc.edu,GLOW_SUBMIT6,GLOW_SUBMIT6,c030.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:1873992.580,2017-02-05T02:55:25.222Z,2017-02-05T02:39:25Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,g18n18.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1548,2017-02-04T10:32:45.010Z,2017-02-04T10:17:32Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,g27n22.hep.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod-2.icecube.wisc.edu:11853.146,2017-02-07T06:43:56.062Z,2017-02-07T06:22:38Z,Payload,condor:sub-simprod-2.icecube.wisc.edu,WIPAC,NPX,gtx-10.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:3681678.1075,2017-02-04T17:34:20.213Z,2017-02-04T17:27:36Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e110.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login02.osgconnect.net:3607724.66,2017-02-07T07:14:18.770Z,2017-02-07T07:11:34Z,Payload,condor:login02.osgconnect.net,OSG-Connect,GLOW,e249.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:2506887.356,2017-02-07T17:07:48.012Z,2017-02-07T17:03:25Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,node029.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
