#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
sub-1.icecube.wisc.edu:17001.274,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g27n25.hep.wisc.edu,g27n25.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:17649.126,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:17649.75,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n29.hep.wisc.edu,g26n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.18,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g28n23.hep.wisc.edu,g28n23.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.20,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g28n29.hep.wisc.edu,g28n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.25,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g28n23.hep.wisc.edu,g28n23.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.31,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.41,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.61,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g28n29.hep.wisc.edu,g28n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.65,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g27n10.hep.wisc.edu,g27n10.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.66,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g28n23.hep.wisc.edu,g28n23.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19290.9,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n23.hep.wisc.edu,g26n23.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19323.2,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n29.hep.wisc.edu,g26n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19323.69,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n29.hep.wisc.edu,g26n29.hep.wisc.edu (primary),,,Failure
