      user	|     group	|     queue	|      cputime (Day:Hr:Min:Sec)	|    walltimes (Day:Hr:Min:Sec)	|        memory (in MB) | vmem (in MB) 
    jiang5	|       eas	|      ebdl	|                   02:08:47:59	|                   02:08:51:24	|                  87  	|    116.14 
   cms0013	|  cmsgrid0	|       cms	|                   00:03:30:43	|                   00:04:45:01	|                 730  	|   1045.79 
   cms0012	|  cmsgrid0	|       cms	|                   00:03:24:02	|                   00:04:41:04	|                 720  	|   1034.71 
   cms0011	|  cmsgrid0	|       cms	|                   00:02:57:33	|                   00:03:56:55	|                 438  	|    754.54 
   cms0010	|  cmsgrid0	|       cms	|                   00:03:24:29	|                   00:04:31:39	|                 549  	|    900.03 
   cms0016	|  cmsgrid0	|       cms	|                   00:03:16:57	|                   00:04:26:18	|                 531  	|    819.31 
   cms0015	|  cmsgrid0	|       cms	|                   00:03:30:37	|                   00:04:46:35	|                 728  	|   1046.20 
   cms0014	|  cmsgrid0	|       cms	|                   00:03:50:48	|                   00:05:10:01	|                 692  	|   1025.56 
  ssharmin	|   student	|   standby	|                   00:00:20:08	|                   00:00:10:22	|                 524  	|   2121.66 
      ghao	|   student	|      ebdl	|                   00:00:08:40	|                   00:00:09:11	|                   7  	|    104.79 
   osgnano	|  osgusers	|       ncn	|                   00:00:00:00	|                   00:00:00:08	|                   2  	|     12.68 
      wu41	|       bio	|mgribsko-d	|                   04:20:48:01	|                   00:10:39:50	|                3030  	|   5265.58 
   mdamoda	|   student	|   standby	|                   00:00:13:16	|                   00:00:02:33	|                1486  	|   2331.84 
