

OSG efficiency summary by VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------
  #   | VO              |   Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall |     Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------
  53  | dosar           |     160 |         1 |        -3 |       0.1 |          0 |    151.36 |    151.36 |    95 |    95
  54  | dosar           |     180 |         1 |         0 |      16.2 |          5 |    152.53 |     -3.70 |    85 |    -2
  55  | dosar           |     192 |        10 |         9 |       1.3 |          1 |     24.44 |     24.40 |    13 |    13
  56  | dosar           |     200 |         0 |        -6 |         0 |        -53 |      0.00 |    -19.02 |     0 |   -10
  57  | dosar           |     240 |         2 |        -6 |       2.1 |         -3 |    238.45 |      1.39 |    99 |     0
  58  | dosar           |     260 |         0 |       -27 |         0 |        -85 |      0.00 |   -244.26 |     0 |   -94
  59  | dosar           |     264 |         0 |        -1 |         0 |          0 |      0.00 |      0.00 |     0 |     0
  60  | dosar           |     300 |         2 |         0 |       0.3 |          0 |     92.59 |   -174.85 |    31 |   -58
  61  | dosar           |     312 |         0 |        -1 |         0 |          0 |      0.00 |   -309.64 |     0 |   -99
  62  | dosar           |     320 |       135 |      -106 |      22.5 |        -29 |    281.48 |     11.18 |    88 |     4
  63  | dosar           |     400 |         1 |        -6 |         0 |        -12 |    160.53 |     63.17 |    40 |    16
  64  | dosar           |     408 |         0 |        -1 |         0 |          0 |      0.00 |     -0.02 |     0 |     0
  65  | dosar           |     440 |         3 |         0 |      39.9 |          7 |    173.77 |    -99.26 |    39 |   -23
  66  | dosar           |     520 |         0 |        -1 |         0 |         -1 |      0.00 |      0.00 |     0 |     0
  67  | dosar           |     600 |         3 |         1 |      39.1 |          0 |     29.05 |   -280.53 |     5 |   -47
  68  | dosar           |     640 |         8 |         4 |      62.7 |         53 |    634.44 |     -1.91 |    99 |     0
  69  | dosar           |     860 |         1 |        -3 |       6.3 |        -29 |    610.30 |    292.78 |    71 |    34
  70  | dosar           |    1152 |         2 |       -19 |       1.9 |         -7 |   1144.31 |    210.38 |    99 |    18
  71  | dune            |       1 |    46,534 |   -46,870 |  41,845.7 |    -16,477 |      0.91 |      0.11 |    91 |    11
  72  | fermilab        |       1 |    15,858 |   -65,247 |  78,172.7 |    -72,939 |      0.69 |      0.11 |    69 |    11
  73  | fermilab        |       2 |       185 |      -173 |     553.7 |        -52 |      0.21 |     -0.02 |    10 |    -2
  74  | fermilab        |       3 |         1 |         1 |       0.4 |          0 |      0.02 |      0.02 |     1 |     1
  75  | fermilab        |       4 |       120 |      -105 |     435.5 |        145 |      0.33 |     -0.04 |     8 |    -1
  76  | fermilab        |       8 |     4,770 |    -5,439 | 177,881.9 |   -157,537 |      5.49 |      0.10 |    69 |     2
  77  | fermilab        |      16 |         2 |        -6 |      46.7 |        -33 |      8.91 |      1.93 |    56 |    12
  78  | g4 (nr)         |       1 |         0 |        -1 |         0 |         -2 |      0.00 |     -1.46 |     0 |  -146
  79  | g4p (nr)        |       1 |         0 |        -7 |         0 |        -38 |      0.00 |    -30.27 |     0 | -3,027
  80  | genie           |       1 |        28 |      -134 |      94.4 |       -362 |      0.47 |     -0.27 |    47 |   -27
  81  | genmc (nr)      |      24 |         0 |        -2 |         0 |          0 |      0.00 |   -262.68 |     0 | -1,095
  82  | glow            |       1 |   188,391 |  -211,344 | 224,627.1 |   -447,724 |      0.26 |     -0.02 |    26 |    -2
  83  | glow            |       2 |       462 |      -339 |   1,697.5 |     -5,758 |      0.08 |      0.00 |     4 |     0
  84  | glow            |       3 |         5 |         1 |       1.9 |       -130 |      0.02 |      0.00 |     1 |     0
  85  | glow            |       4 |       418 |      -435 |   2,413.6 |     -8,656 |      0.25 |      0.14 |     6 |     3
  86  | glow            |       8 |     2,994 |    -2,325 |   5,205.9 |    -56,019 |      2.28 |     -0.88 |    28 |   -12
  87  | glow            |      16 |         1 |        -7 |      24.0 |       -143 |      0.01 |     -2.07 |     0 |   -13
  88  | gm2             |       1 |    10,639 |    -8,133 |  16,413.3 |     -3,157 |      0.91 |      0.06 |    91 |     6
  89  | gridunesp       |       1 |     3,554 |       667 |  20,258.0 |    -25,885 |      0.82 |      0.54 |    82 |    54
  90  | gridunesp       |       2 |         8 |       -21 |      32.2 |       -608 |      1.40 |      0.64 |    70 |    32
  91  | gridunesp       |       4 |         0 |       -49 |         0 |       -308 |      0.00 |     -3.12 |     0 |   -78
  92  | gridunesp       |       8 |       181 |      -830 |   1,824.6 |     -2,899 |      2.17 |     -0.44 |    27 |    -6
  93  | gridunesp       |       9 |         0 |        -1 |         0 |          0 |      0.00 |     -0.09 |     0 |    -1
  94  | gridunesp       |      10 |         0 |        -6 |         0 |          0 |      0.00 |     -7.99 |     0 |   -80
  95  | gridunesp       |      12 |         1 |         1 |         0 |          0 |      5.11 |      5.11 |    43 |    43
  96  | gridunesp       |      16 |        45 |       -22 |   2,260.6 |        368 |     15.14 |      0.02 |    95 |     0
  97  | gridunesp       |      18 |         0 |        -1 |         0 |          0 |      0.00 |    -13.63 |     0 |   -76
  98  | gridunesp       |      24 |         5 |       -23 |       1.6 |       -266 |     22.41 |      2.75 |    93 |    11
  99  | gridunesp       |      32 |         6 |        -9 |     212.9 |       -244 |     30.58 |     14.51 |    96 |    46
  100 | gridunesp       |      64 |         1 |         0 |     167.8 |         98 |     53.93 |     53.93 |    84 |    84
  101 | gridunesp       |     100 |        14 |       -19 |     209.0 |       -219 |     89.45 |      0.23 |    89 |     0
  102 | hcc             |       1 |    23,095 |   -43,015 | 287,824.6 |   -414,131 |      0.48 |      0.02 |    48 |     2
  103 | hcc             |       2 |       938 |    -2,573 |     441.8 |     -1,105 |      0.09 |      0.07 |     4 |     3
  104 | hcc             |       3 |        19 |        17 |       7.7 |          6 |      0.02 |      0.00 |     1 |     0
  105 | hcc             |       4 |     1,124 |    -2,546 |     449.5 |     -1,078 |      0.02 |      0.00 |     0 |     0
  106 | hcc             |       8 |       913 |    -3,019 |   3,824.6 |    -24,892 |      4.09 |      0.26 |    51 |     3
  107 | icecube         |       1 |   998,647 | -2,375,744 | 251,297.2 |   -591,476 |      0.36 |      0.12 |    36 |    12
  108 | icecube         |       2 |     2,929 |    -5,660 |   5,524.7 |     -4,640 |      0.45 |     -0.08 |    23 |    -4
  109 | icecube         |       3 |     1,058 |    -3,279 |   1,176.9 |     -3,354 |      0.34 |     -0.07 |    11 |    -3
  110 | icecube         |       4 |       445 |    -1,300 |   1,815.6 |     -3,162 |      0.75 |      0.27 |    19 |     7
  111 | icecube         |       5 |        38 |      -152 |     212.4 |       -254 |      0.43 |      0.03 |     9 |     1
  112 | icecube         |       6 |     2,832 |      -757 |   2,308.6 |       -561 |      0.84 |     -0.64 |    14 |   -11
  113 | icecube         |       7 |         0 |       -11 |         0 |        -88 |      0.00 |     -1.32 |     0 |   -19
  114 | icecube         |       8 |     5,134 |    -2,742 |   8,452.9 |     -5,537 |      0.46 |     -1.61 |     6 |   -20
  115 | icecube         |       9 |         1 |       -15 |       0.6 |        -11 |     10.41 |      2.61 |   116 |    29
  116 | icecube         |      11 |         0 |    -5,992 |         0 |       -105 |      0.00 |     -5.41 |     0 |   -49
  117 | icecube         |      12 |        16 |        16 |     269.1 |        269 |      0.01 |      0.01 |     0 |     0
  118 | icecube         |      13 |         4 |         4 |      19.5 |         19 |      5.20 |      5.20 |    40 |    40
  119 | icecube         |      14 |         0 |        -1 |         0 |        -23 |      0.00 |     -0.28 |     0 |    -2
  120 | icecube         |      15 |         3 |        -6 |      69.6 |         69 |      0.82 |     -6.57 |     5 |   -44
  121 | icecube         |      16 |     2,116 |   -22,707 |   1,151.4 |     -1,394 |      5.26 |      0.58 |    33 |     4
  122 | icecube         |      20 |         0 |        -2 |         0 |         -6 |      0.00 |    -14.92 |     0 |   -75
  123 | icecube         |      21 |         7 |         6 |         0 |        -28 |      0.00 |     -0.56 |     0 |    -3
  124 | icecube         |      22 |        35 |        35 |      28.0 |         28 |      1.59 |      1.59 |     7 |     7
  125 | icecube         |      24 |     4,766 |   -16,404 |     965.5 |       -374 |      2.67 |     -0.59 |    11 |    -3
  126 | icecube         |      32 |         0 |    -2,447 |         0 |       -774 |      0.00 |     -5.41 |     0 |   -17
  127 | ilc             |       1 |         0 |      -512 |         0 |        -67 |      0.00 |     -0.14 |     0 |   -14
  128 | iota (nr)       |       1 |         0 |        -7 |         0 |         -9 |      0.00 |    -25.37 |     0 | -2,537
  129 | iota (nr)       |       2 |        10 |         1 |      57.3 |         51 |     51.09 |    -12.16 | 2,555 |  -607
  130 | iota (nr)       |       4 |         4 |         0 |       2.2 |        -10 |     63.44 |    -64.45 | 1,586 | -1,611
  131 | iota (nr)       |       6 |         1 |         1 |      20.1 |         20 |    191.92 |    191.92 | 3,199 | 3,199
  132 | iota (nr)       |       8 |         1 |         1 |         0 |          0 |      2.50 |      2.50 |    31 |    31
  133 | iota (nr)       |      20 |         1 |         1 |       8.4 |          8 |    239.89 |    239.89 | 1,199 | 1,199
  134 | lariat          |       1 |     2,363 |   -23,481 |   3,142.8 |     -6,542 |      0.04 |     -0.61 |     4 |   -61
  135 | ligo            |       1 |     6,892 |  -215,157 |  11,048.5 |   -180,620 |      0.91 |      0.32 |    91 |    32
  136 | lqcdg (nr)      |       1 |         0 |        -2 |         0 |        -16 |      0.00 |      0.00 |     0 |     0
  137 | lz              |       1 |         4 |       -16 |       0.2 |          0 |      0.43 |     -0.10 |    43 |   -10
  138 | mars            |       1 |     1,743 |    -4,686 |  25,289.5 |    -76,677 |      0.84 |     -0.02 |    84 |    -2
  139 | microboone      |       1 |   105,729 |  -205,418 | 120,845.1 |   -213,173 |      0.59 |     -0.20 |    59 |   -20
  140 | microboone      |       2 |        16 |       -72 |       6.6 |        -28 |      0.02 |      0.00 |     1 |     0
  141 | microboone      |       3 |         1 |         1 |       0.4 |          0 |      0.02 |      0.02 |     1 |     1
  142 | microboone      |       4 |        25 |       -41 |      10.2 |        -18 |      0.02 |      0.01 |     0 |     0
  143 | microboone      |       8 |       507 |      -247 |     179.1 |        -76 |      0.03 |      0.01 |     0 |     0
  144 | minerva         |       1 |    29,538 |  -198,206 |  43,666.5 |   -202,537 |      0.82 |      0.04 |    82 |     4
  145 | minos           |       1 |   130,229 |  -133,627 | 274,765.2 |   -350,718 |      0.98 |     -0.01 |    98 |    -1
  146 | mu2e            |       1 |    15,738 |   -45,400 | 103,485.5 |    -33,932 |      0.92 |     -0.02 |    92 |    -2
  147 | nanohub         |       1 |       224 |    -1,525 |      73.2 |       -753 |      0.06 |     -0.27 |     6 |   -27
  148 | nanohub         |       2 |        50 |      -329 |      19.9 |       -264 |      0.05 |     -0.33 |     2 |   -17
  149 | nanohub         |       3 |         9 |         9 |       3.2 |          3 |      0.02 |      0.02 |     1 |     1
  150 | nanohub         |       4 |       129 |      -237 |      48.9 |       -210 |      0.06 |     -0.26 |     2 |    -6
  151 | nanohub         |       8 |         7 |       -51 |       1.5 |         -8 |      0.00 |      0.00 |     0 |     0
  152 | nova            |       1 |    86,383 |  -148,681 | 399,760.0 |   -456,572 |      0.77 |      0.07 |    77 |     7
  153 | nova            |       2 |       138 |      -105 |     458.9 |        185 |      0.08 |     -0.06 |     4 |    -3
  154 | nova            |       4 |        68 |      -141 |     333.6 |        -50 |      0.39 |      0.02 |    10 |     1
  155 | nova            |       8 |       255 |       -93 |     148.1 |       -124 |      2.79 |     -0.59 |    35 |    -7
  156 | osg             |       1 | 1,200,455 | -1,439,092 | 997,485.1 | -1,552,457 |      0.69 |     -0.02 |    69 |    -2
  157 | osg             |       2 |       160 |      -451 |     721.7 |     -1,856 |      0.45 |      0.26 |    23 |    14
  158 | osg             |       3 |         1 |         1 |       0.2 |          0 |      0.04 |      0.04 |     1 |     1
  159 | osg             |       4 |       147 |      -432 |     180.6 |     -1,569 |      0.23 |      0.09 |     6 |     3
  160 | osg             |       6 |        34 |       -58 |   1,270.7 |     -1,606 |      5.84 |      0.03 |    97 |     0
  161 | osg             |       8 |     3,043 |    -6,848 |  15,227.7 |    -93,947 |      4.42 |     -0.38 |    55 |    -5
  162 | osg             |      16 |         3 |        -5 |       9.8 |        -89 |      0.01 |     -0.82 |     0 |    -5
  163 | osg             |      24 |         0 |      -434 |         0 |     -9,679 |      0.00 |    -18.66 |     0 |   -78
  164 | osg-connect (nr) |       1 |   536,657 |  -845,806 | 427,213.7 |   -483,524 |      0.69 |      0.14 |    69 |    14
  165 | osg-connect (nr) |       4 |       310 |      -941 |   9,005.2 |    -15,278 |      0.06 |     -0.38 |     1 |   -10
  166 | osg-connect (nr) |       8 |       255 |    -1,353 |   5,136.5 |    -35,445 |      0.15 |     -0.49 |     2 |    -6
  167 | qcdloop (nr)    |       2 |         0 |        -2 |         0 |          0 |      0.00 |    -61.60 |     0 | -3,080
  168 | qcdloop (nr)    |      16 |         1 |         1 |      13.4 |         13 |    493.29 |    493.29 | 3,083 | 3,083
  169 | qcdloop (nr)    |      20 |         3 |         3 |      13.8 |         13 |    235.67 |    235.67 | 1,178 | 1,178
  170 | sbgrid          |       1 |         9 |  -244,449 |       1.9 |    -88,770 |      0.01 |     -0.79 |     1 |   -79
  171 | sbgrid          |       8 |         4 |      -493 |       1.1 |     -3,660 |      0.01 |     -4.94 |     0 |   -62
  172 | seaquest        |       1 |     5,986 |     2,325 |  18,922.3 |      7,106 |      0.80 |     -0.05 |    80 |    -5
  173 | spt-connect (nr) |       1 |         0 |   -10,746 |         0 |       -380 |      0.00 |     -0.35 |     0 |   -35
  174 | spt-connect (nr) |      12 |         0 |      -274 |         0 |        -16 |      0.00 |     -0.75 |     0 |    -6
  175 | star            |       1 |         0 |        -4 |         0 |          0 |      0.00 |     -0.16 |     0 |   -16
  176 | uslarp (nr)     |       2 |         0 |       -10 |         0 |       -164 |      0.00 |    -63.97 |     0 | -3,198
  177 | uslarp (nr)     |       3 |         1 |        -2 |      13.3 |         -2 |     35.98 |      0.01 | 1,199 |     0
  178 | uslarp (nr)     |       4 |         0 |        -4 |         0 |        -27 |      0.00 |   -127.91 |     0 | -3,198
  179 | uslarp (nr)     |       6 |         0 |        -2 |         0 |        -43 |      0.00 |    -71.97 |     0 | -1,199
  180 | uslarp (nr)     |       8 |        10 |        -6 |      49.7 |        -53 |    165.78 |    -64.22 | 2,072 |  -803
  181 | uslarp (nr)     |      12 |        13 |         7 |      34.3 |        -27 |    143.88 |     -0.05 | 1,199 |     0
  182 | uslarp (nr)     |      16 |         2 |         2 |      11.4 |         11 |    511.60 |    511.60 | 3,197 | 3,197
  183 | uslarp (nr)     |      24 |         0 |       -10 |         0 |       -123 |      0.00 |   -287.85 |     0 | -1,199
  184 | xenon-connect (nr) |       1 |    51,029 |  -144,521 | 128,483.3 |    -33,880 |      0.78 |     -0.09 |    78 |    -9
---------------------------------------------------------------------------------------------------------------------------------
     | All VOs         | All Cores | 4,312,876 | -7,821,955 | 6,228,422 | -10,065,458 |     37.51 |     -0.15 |   166 |   -59
---------------------------------------------------------------------------------------------------------------------------------


report_2017_05_01.html

OSG efficiency summary by VO for 2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC) including all jobs that finished in that time period. Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall Duration is the duration between the instant the job started running and the instant the job ended its execution. Deltas are the differences with the previous period. For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
# . 	VO 	Cores 	Njobs 	Delta 	Wall 	Delta 	CpuToWall 	Delta 	%Effi 	Delta
1 . 	aclcntrl (nr) 	1 	16 	3 	47.9 	-2 	0.98 	0.02 	98 	2
2 . 	alice 	1 	7,057 	-37,463 	49,496.7 	-223,749 	0.87 	0.02 	87 	2
3 . 	annie 	1 	712 	-10,162 	3,329.1 	-805 	0.76 	0.11 	76 	11
4 . 	atlas 	1 	475,338 	-635,067 	1,285,753.9 	-2,259,398 	0.91 	-0.01 	91 	-1
5 . 	atlas 	2 	28,172 	-33,307 	17,121.1 	-98,699 	0.71 	-0.27 	35 	-14
6 . 	atlas 	4 	6,906 	-22,229 	37,151.8 	-110,686 	3.02 	0.01 	75 	0
7 . 	atlas 	8 	129,653 	-254,857 	294,111.2 	-505,958 	5.36 	0.07 	67 	1
8 . 	atlas 	16 	4,422 	677 	510.7 	-1,529 	11.77 	5.07 	74 	32
9 . 	belle 	1 	426 	-1,912 	52.1 	-271 	0.28 	0.04 	28 	4
10 . 	booster (nr) 	1 	6 	-4 	5.1 	-3 	11.44 	-0.11 	1,144 	-11
11 . 	booster (nr) 	4 	13 	-50 	170.2 	-895 	127.78 	0.13 	3,195 	4
12 . 	cdf 	1 	2,375 	-950 	19,572.7 	734 	0.97 	0.06 	97 	6
13 . 	cdms 	1 	2,259 	-745 	23,529.7 	-6,368 	0.83 	0.08 	83 	8
14 . 	ciconnect (nr) 	8 	615 	-3,781 	5,277.0 	2,328 	3.66 	2.81 	46 	35
15 . 	cms 	1 	65,609 	-174,599 	74,705.1 	-135,788 	0.4 	-0.10 	40 	-10
16 . 	cms 	2 	7,500 	-24,227 	30,414.4 	-57,226 	0.91 	-0.02 	46 	0
17 . 	cms 	3 	40 	19 	147.0 	58 	0.86 	0.67 	29 	23
18 . 	cms 	4 	4,753 	-5,367 	18,836.4 	-27,170 	0.92 	0.06 	23 	2
19 . 	cms 	6 	11 	-421 	0.1 	-140 	0.91 	-0.09 	15 	-2
20 . 	cms 	8 	27,603 	-47,426 	466,986.0 	-788,566 	4.42 	-0.54 	55 	-7
21 . 	cms 	10 	8,498 	-17,457 	45,002.2 	-68,597 	4.51 	-0.62 	45 	-6
22 . 	cms 	56 	27 	-293 	471.9 	-3,196 	6.89 	2.07 	12 	3
23 . 	cms-mt-tests (nr) 	1 	0 	-1 	0 	0 	0.0 	0.00 	0 	0
24 . 	darkside 	1 	3,363 	-7,671 	2,593.9 	-22,329 	0.21 	-0.33 	21 	-33
25 . 	des 	1 	27,772 	-11,720 	66,226.9 	20,423 	0.6 	-0.04 	60 	-4
26 . 	des 	4 	0 	-7,044 	0 	-19,009 	0.0 	-1.17 	0 	-29
27 . 	des 	30 	147 	-241 	1,727.9 	-2,763 	19.29 	0.19 	64 	0
28 . 	desnnet (nr) 	1 	6 	-20 	1.4 	-17 	0.3 	-0.72 	30 	-72
29 . 	dosar 	1 	5,392 	-9,638 	53,981.2 	-59,919 	0.99 	0.11 	99 	11
30 . 	dosar 	3 	1 	0 	0.6 	0 	1.51 	-0.06 	50 	-2
31 . 	dosar 	4 	3 	-9 	0.3 	-23 	3.7 	0.78 	93 	20
32 . 	dosar 	8 	0 	-1 	0 	0 	0.0 	-0.94 	0 	-12
33 . 	dosar 	10 	0 	-231 	0 	-54 	0.0 	-1.83 	0 	-18
34 . 	dosar 	11 	13 	-2 	16.0 	-1 	5.43 	2.12 	49 	19
35 . 	dosar 	12 	0 	-3 	0 	-1 	0.0 	-3.54 	0 	-29
36 . 	dosar 	16 	426 	-2,361 	185.8 	-584 	2.09 	-10.53 	13 	-66
37 . 	dosar 	20 	5,235 	-8,055 	1,549.4 	-3,492 	4.26 	0.16 	21 	0
38 . 	dosar 	24 	1,413 	-2,411 	641.1 	-1,736 	6.05 	-4.53 	25 	-19
39 . 	dosar 	32 	9 	1 	227.1 	61 	31.99 	9.31 	100 	29
40 . 	dosar 	40 	15 	-25 	268.4 	-258 	3.58 	2.28 	9 	6
41 . 	dosar 	44 	1 	-3 	0 	0 	4.47 	-22.25 	10 	-51
42 . 	dosar 	48 	42 	-1,600 	175.5 	-163 	31.19 	-1.50 	65 	-3
43 . 	dosar 	50 	0 	-7 	0 	0 	0.0 	-34.40 	0 	-69
44 . 	dosar 	60 	6 	-22 	135.6 	-136 	18.37 	-10.49 	31 	-17
45 . 	dosar 	72 	11 	-6 	322.0 	64 	58.78 	-5.23 	82 	-7
46 . 	dosar 	80 	7 	-12 	1.9 	-4 	67.71 	-2.72 	85 	-3
47 . 	dosar 	95 	0 	-1 	0 	-45 	0.0 	-94.90 	0 	-100
48 . 	dosar 	96 	225 	-177 	4.1 	-5 	64.01 	-5.79 	67 	-6
49 . 	dosar 	100 	1 	-21 	3.7 	-38 	17.66 	-59.34 	18 	-59
50 . 	dosar 	120 	8 	-30 	17.9 	-154 	114.13 	-4.46 	95 	-4
51 . 	dosar 	140 	68 	-63 	132.7 	-66 	127.74 	0.18 	91 	0
52 . 	dosar 	144 	1 	-1 	1.6 	-94 	0.0 	-4.75 	0 	-3
53 . 	dosar 	160 	1 	-3 	0.1 	0 	151.36 	151.36 	95 	95
54 . 	dosar 	180 	1 	0 	16.2 	5 	152.53 	-3.70 	85 	-2
55 . 	dosar 	192 	10 	9 	1.3 	1 	24.44 	24.40 	13 	13
56 . 	dosar 	200 	0 	-6 	0 	-53 	0.0 	-19.02 	0 	-10
57 . 	dosar 	240 	2 	-6 	2.1 	-3 	238.45 	1.39 	99 	0
58 . 	dosar 	260 	0 	-27 	0 	-85 	0.0 	-244.26 	0 	-94
59 . 	dosar 	264 	0 	-1 	0 	0 	0.0 	0.00 	0 	0
60 . 	dosar 	300 	2 	0 	0.3 	0 	92.59 	-174.85 	31 	-58
