+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| del_JUR                                | Period     | Status | Processors | Njobs | CpuUserDuration | CpuSystemDuration | WallDuration |
+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| call del_JUR_from_Summary(1299492044); | 2014-04-14 | 0      |          1 |     1 |            1291 |                 0 |       388941 |
| call del_JUR_from_Summary(1299492045); | 2014-04-14 | 0      |          1 |     1 |             786 |                 1 |       388411 |
| call del_JUR_from_Summary(1299492046); | 2014-04-14 | 0      |          1 |     1 |            2548 |                 4 |       391618 |
| call del_JUR_from_Summary(1299492047); | 2014-04-14 | 0      |          1 |     1 |            1501 |                 1 |       389195 |
| call del_JUR_from_Summary(1299492048); | 2014-04-14 | 0      |          1 |     1 |            1472 |                 1 |       390605 |
| call del_JUR_from_Summary(1299492049); | 2014-04-14 | 0      |          1 |     1 |            1261 |                 1 |       390147 |
| call del_JUR_from_Summary(1299492050); | 2014-04-14 | 0      |          1 |     1 |             542 |                 0 |       388128 |
| call del_JUR_from_Summary(1299492051); | 2014-04-14 | 0      |          1 |     1 |            2058 |                 1 |       391119 |
| call del_JUR_from_Summary(1299492052); | 2014-04-14 | 0      |          1 |     1 |            2105 |                 3 |       391119 |
| call del_JUR_from_Summary(1299492053); | 2014-04-14 | 0      |          1 |     1 |            1043 |                 1 |       389764 |
| call del_JUR_from_Summary(1299492054); | 2014-04-14 | 0      |          1 |     1 |            2520 |                 4 |       391600 |
| call del_JUR_from_Summary(1299492055); | 2014-04-14 | 0      |          1 |     1 |            2046 |                 1 |       391079 |
| call del_JUR_from_Summary(1299492056); | 2014-04-14 | 0      |          1 |     1 |            2250 |                 0 |       391326 |
| call del_JUR_from_Summary(1299492057); | 2014-04-14 | 0      |          1 |     1 |             678 |                 0 |       388322 |
| call del_JUR_from_Summary(1299492058); | 2014-04-14 | 0      |          1 |     1 |            1200 |                 0 |       390211 |
| call del_JUR_from_Summary(1299492059); | 2014-04-14 | 0      |          1 |     1 |            1080 |                 0 |       390340 |
| call del_JUR_from_Summary(1299492060); | 2014-04-14 | 0      |          1 |     1 |            2269 |                 0 |       391781 |
| call del_JUR_from_Summary(1299492061); | 2014-04-14 | 0      |          1 |     1 |            1739 |                 1 |       390822 |
| call del_JUR_from_Summary(1299492062); | 2014-04-14 | 0      |          1 |     1 |            1312 |                 0 |       389460 |
| call del_JUR_from_Summary(1299492063); | 2014-04-14 | 0      |          1 |     1 |            1795 |                 1 |       391170 |
| call del_JUR_from_Summary(1299492064); | 2014-04-14 | 0      |          1 |     1 |             309 |                 0 |       387654 |
| call del_JUR_from_Summary(1299492065); | 2014-04-14 | 0      |          1 |     1 |             486 |                 0 |       387406 |
| call del_JUR_from_Summary(1299500035); | 2014-04-14 | 0      |          1 |     1 |            1404 |                 0 |       389089 |
| call del_JUR_from_Summary(1299500036); | 2014-04-14 | 0      |          1 |     1 |             996 |                 1 |       387799 |
| call del_JUR_from_Summary(1299500037); | 2014-04-14 | 0      |          1 |     1 |            3237 |                 2 |       392772 |
| call del_JUR_from_Summary(1299500038); | 2014-04-14 | 0      |          1 |     1 |             335 |                 0 |       387371 |
| call del_JUR_from_Summary(1299500039); | 2014-04-14 | 0      |          1 |     1 |            1899 |                 0 |       390248 |
| call del_JUR_from_Summary(1299500040); | 2014-04-14 | 0      |          1 |     1 |             979 |                 0 |       388484 |
| call del_JUR_from_Summary(1299500041); | 2014-04-14 | 0      |          1 |     1 |             896 |                 0 |       388219 |
| call del_JUR_from_Summary(1299500042); | 2014-04-14 | 0      |          1 |     1 |            1405 |                 0 |       389347 |
| call del_JUR_from_Summary(1299500043); | 2014-04-14 | 0      |          1 |     1 |            1403 |                 1 |       388408 |
| call del_JUR_from_Summary(1299500044); | 2014-04-14 | 0      |          1 |     1 |             963 |                 3 |       387649 |
| call del_JUR_from_Summary(1299500045); | 2014-04-14 | 0      |          1 |     1 |             976 |                 1 |       387614 |
| call del_JUR_from_Summary(1299500046); | 2014-04-14 | 0      |          1 |     1 |            1426 |                 0 |       388699 |
| call del_JUR_from_Summary(1299500047); | 2014-04-14 | 0      |          1 |     1 |            1857 |                 0 |       389117 |
| call del_JUR_from_Summary(1299500048); | 2014-04-14 | 0      |          1 |     1 |            1010 |                 1 |       387882 |
| call del_JUR_from_Summary(1299500049); | 2014-04-14 | 0      |          1 |     1 |            1584 |                 0 |       388821 |
| call del_JUR_from_Summary(1299500050); | 2014-04-14 | 0      |          1 |     1 |            1623 |                 0 |       389712 |
| call del_JUR_from_Summary(1299500051); | 2014-04-14 | 0      |          1 |     1 |            2649 |                 3 |       390273 |
| call del_JUR_from_Summary(1299500052); | 2014-04-14 | 0      |          1 |     1 |            1927 |                 0 |       393131 |
| call del_JUR_from_Summary(1299500053); | 2014-04-14 | 0      |          1 |     1 |             887 |                 0 |       388132 |
| call del_JUR_from_Summary(1299500054); | 2014-04-14 | 0      |          1 |     1 |            1034 |                 0 |       388351 |
| call del_JUR_from_Summary(1299500055); | 2014-04-14 | 0      |          1 |     1 |            1989 |                 2 |       391553 |
| call del_JUR_from_Summary(1299500056); | 2014-04-14 | 0      |          1 |     1 |             606 |                 0 |       387430 |
| call del_JUR_from_Summary(1299500057); | 2014-04-14 | 0      |          1 |     1 |            2931 |                 1 |       392150 |
| call del_JUR_from_Summary(1299500058); | 2014-04-14 | 0      |          1 |     1 |            1429 |                 0 |       388571 |
| call del_JUR_from_Summary(1299500059); | 2014-04-14 | 0      |          1 |     1 |             827 |                 2 |       387764 |
| call del_JUR_from_Summary(1299500060); | 2014-04-14 | 0      |          1 |     1 |            1322 |                 1 |       387992 |
| call del_JUR_from_Summary(1299500061); | 2014-04-14 | 0      |          1 |     1 |            2088 |                 2 |       391041 |
| call del_JUR_from_Summary(1299500062); | 2014-04-14 | 0      |          1 |     1 |             554 |                 0 |       387603 |
| call del_JUR_from_Summary(1299500063); | 2014-04-14 | 0      |          1 |     1 |            1036 |                 0 |       387873 |
| call del_JUR_from_Summary(1299500064); | 2014-04-14 | 0      |          1 |     1 |            2131 |                 0 |       390257 |
| call del_JUR_from_Summary(1299500065); | 2014-04-14 | 0      |          1 |     1 |            1841 |                 0 |       389913 |
| call del_JUR_from_Summary(1299500066); | 2014-04-14 | 0      |          1 |     1 |            2244 |                 1 |       391206 |
| call del_JUR_from_Summary(1299500067); | 2014-04-14 | 0      |          1 |     1 |             927 |                 0 |       388264 |
| call del_JUR_from_Summary(1299500068); | 2014-04-14 | 0      |          1 |     1 |            1142 |                 0 |       387841 |
| call del_JUR_from_Summary(1299500069); | 2014-04-14 | 0      |          1 |     1 |            1574 |                 0 |       388732 |
| call del_JUR_from_Summary(1299500070); | 2014-04-14 | 0      |          1 |     1 |             919 |                 1 |       387849 |
| call del_JUR_from_Summary(1299500071); | 2014-04-14 | 0      |          1 |     1 |            3110 |                 4 |       392110 |
| call del_JUR_from_Summary(1299500072); | 2014-04-14 | 0      |          1 |     1 |             803 |                 0 |       387891 |
| call del_JUR_from_Summary(1299500073); | 2014-04-14 | 0      |          1 |     1 |            1016 |                 0 |       388946 |
| call del_JUR_from_Summary(1299500074); | 2014-04-14 | 0      |          1 |     1 |            1696 |                 0 |       389242 |
| call del_JUR_from_Summary(1299500075); | 2014-04-14 | 0      |          1 |     1 |             931 |                 2 |       387712 |
