

OSG efficiency summary by VO for  2017-04-01 - 2017-05-01 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-01 and 2017-05-01 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------
  #   | VO              |   Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall |     Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------
  52  | dosar           |      12 |         8 |       -47 |       7.7 |        -98 |      2.67 |     -1.93 |    22 |   -16
  53  | dosar           |      16 |     6,403 |    -3,575 |   1,219.2 |     -2,081 |     11.17 |     -0.75 |    70 |    -4
  54  | dosar           |      20 |    33,028 |   -18,642 |  14,845.6 |     -2,859 |      3.50 |     -1.04 |    18 |    -5
  55  | dosar           |      23 |         9 |         1 |       0.9 |          0 |      0.00 |     -0.01 |     0 |     0
  56  | dosar           |      24 |    16,852 |    10,188 |  10,486.3 |      4,779 |     10.17 |      1.00 |    42 |     4
  57  | dosar           |      27 |         1 |         1 |       0.1 |          0 |      0.08 |      0.08 |     0 |     0
  58  | dosar           |      32 |        85 |        18 |   1,961.0 |        645 |     15.65 |     -0.62 |    49 |    -2
  59  | dosar           |      36 |       106 |       -88 |      32.1 |     -3,391 |     29.31 |     15.08 |    81 |    41
  60  | dosar           |      40 |       494 |      -211 |   1,860.6 |       -935 |      5.50 |      0.26 |    14 |     1
  61  | dosar           |      44 |       103 |        66 |      17.4 |         -7 |     31.94 |     28.57 |    73 |    65
  62  | dosar           |      48 |     3,330 |     1,434 |   1,028.4 |       -707 |     31.90 |      1.65 |    66 |     3
  63  | dosar           |      50 |         7 |         7 |       0.7 |          0 |     34.40 |     34.40 |    69 |    69
  64  | dosar           |      60 |        64 |       -56 |     780.5 |        195 |     31.00 |     -7.02 |    52 |   -11
  65  | dosar           |      64 |        13 |        11 |     423.8 |        423 |      3.28 |      1.22 |     5 |     2
  66  | dosar           |      72 |       124 |       -16 |   1,518.8 |        370 |     59.02 |     -6.06 |    82 |    -8
  67  | dosar           |      80 |       109 |      -169 |      81.3 |       -249 |     44.49 |     11.99 |    56 |    15
  68  | dosar           |      90 |         0 |        -1 |         0 |         -5 |      0.00 |    -89.35 |     0 |   -99
  69  | dosar           |      95 |         4 |        -6 |     267.8 |         87 |     94.92 |      0.26 |   100 |     0
  70  | dosar           |      96 |       998 |       628 |     373.3 |       -272 |     55.40 |    -15.17 |    58 |   -16
  71  | dosar           |     100 |        84 |    -2,958 |     221.4 |       -802 |     78.90 |      9.40 |    79 |    10
  72  | dosar           |     115 |         4 |         4 |         0 |          0 |      0.05 |      0.05 |     0 |     0
  73  | dosar           |     120 |        84 |        52 |     223.8 |        176 |    116.51 |      5.70 |    97 |     5
  74  | dosar           |     128 |         4 |       -11 |     287.4 |       -270 |     18.90 |    -91.45 |    15 |   -71
  75  | dosar           |     140 |       207 |       203 |     343.0 |        341 |    127.62 |      3.47 |    91 |     2
  76  | dosar           |     144 |        11 |       -18 |     111.1 |       -329 |     21.00 |     13.27 |    15 |    10
  77  | dosar           |     160 |        17 |        10 |       2.4 |          1 |     67.38 |    -31.54 |    42 |   -20
  78  | dosar           |     168 |        29 |        23 |      35.6 |         23 |    126.91 |    -39.91 |    76 |   -23
  79  | dosar           |     180 |         4 |         4 |      46.4 |         46 |    154.34 |    154.34 |    86 |    86
  80  | dosar           |     192 |        20 |        16 |      10.1 |          8 |    125.34 |    -53.01 |    65 |   -28
  81  | dosar           |     200 |        14 |       -38 |     151.5 |         80 |     15.75 |   -101.15 |     8 |   -50
  82  | dosar           |     216 |         1 |        -5 |       1.8 |       -446 |    179.49 |    -33.27 |    83 |   -15
  83  | dosar           |     220 |         0 |        -4 |         0 |          0 |      0.00 |   -144.50 |     0 |   -66
  84  | dosar           |     225 |         0 |       -13 |         0 |        -13 |      0.00 |    -77.47 |     0 |   -34
  85  | dosar           |     240 |        25 |       -22 |      12.7 |        -75 |    236.66 |    115.33 |    99 |    48
  86  | dosar           |     252 |         0 |        -2 |         0 |          0 |      0.00 |     -0.04 |     0 |     0
  87  | dosar           |     260 |       111 |        88 |     213.1 |        179 |    229.96 |     -5.89 |    88 |    -3
  88  | dosar           |     264 |         1 |         1 |       0.1 |          0 |      0.00 |      0.00 |     0 |     0
  89  | dosar           |     288 |         0 |        -2 |         0 |          0 |      0.00 |     -0.04 |     0 |     0
  90  | dosar           |     300 |        15 |        14 |       1.7 |          1 |    242.67 |    -47.90 |    81 |   -16
  91  | dosar           |     312 |         1 |         1 |       0.8 |          0 |    309.64 |    309.64 |    99 |    99
  92  | dosar           |     320 |       706 |      -514 |     178.2 |        -79 |    257.29 |    -12.93 |    80 |    -4
  93  | dosar           |     340 |         3 |        -6 |       7.3 |         -8 |    316.49 |     19.38 |    93 |     6
  94  | dosar           |     400 |        20 |        -4 |      45.7 |        -69 |    309.37 |    117.35 |    77 |    29
  95  | dosar           |     408 |         1 |         1 |         0 |          0 |      0.02 |      0.02 |     0 |     0
  96  | dosar           |     440 |        20 |        11 |     108.4 |         55 |    206.34 |   -213.19 |    47 |   -48
  97  | dosar           |     480 |         0 |       -12 |         0 |        -75 |      0.00 |   -314.89 |     0 |   -66
  98  | dosar           |     520 |         1 |         1 |       1.5 |          1 |      0.00 |      0.00 |     0 |     0
  99  | dosar           |     600 |        24 |        -2 |     424.3 |        128 |    105.97 |   -240.23 |    18 |   -40
  100 | dosar           |     640 |        25 |        24 |     100.2 |         96 |    635.27 |     -0.06 |    99 |     0
  101 | dosar           |     800 |         0 |        -5 |         0 |        -22 |      0.00 |   -721.14 |     0 |   -90
  102 | dosar           |     860 |        10 |       -13 |      95.2 |         10 |    262.62 |    -35.53 |    31 |    -4
  103 | dosar           |    1000 |         0 |        -2 |         0 |        -17 |      0.00 |   -993.32 |     0 |   -99
  104 | dosar           |    1152 |        55 |        55 |      58.7 |         58 |    895.05 |    895.05 |    78 |    78
  105 | duke-connect (nr) |       1 |         0 |  -163,819 |         0 |   -147,110 |      0.00 |     -0.85 |     0 |   -85
  106 | dune            |       1 |   544,748 |   -46,092 | 454,258.1 |   -303,111 |      0.90 |      0.09 |    90 |     9
  107 | fermilab        |       1 |   197,201 |   -71,419 | 471,915.3 |   -126,179 |      0.59 |     -0.03 |    59 |    -3
  108 | fermilab        |       2 |       914 |    -2,048 |   2,170.2 |     -4,433 |      0.25 |     -0.06 |    12 |    -3
  109 | fermilab        |       3 |         6 |       -74 |      14.2 |        -59 |      0.84 |      0.29 |    28 |    10
  110 | fermilab        |       4 |       762 |    -1,786 |   1,946.3 |     -3,453 |      0.39 |     -0.03 |    10 |     0
  111 | fermilab        |       8 |    53,197 |   -48,966 | 1,279,618.2 |   -358,840 |      4.98 |      0.02 |    62 |     0
  112 | fermilab        |      16 |        13 |      -240 |     143.3 |     -1,225 |      8.37 |      4.26 |    52 |    26
  113 | g4 (nr)         |       1 |         7 |       -28 |       8.3 |         -1 |      1.02 |      0.99 |   102 |    99
  114 | g4p (nr)        |       1 |       452 |      -216 |     374.7 |     -1,298 |     21.49 |     15.79 | 2,149 | 1,579
  115 | genie           |       1 |       408 |      -773 |   1,190.9 |     -1,561 |      0.68 |      0.08 |    68 |     8
  116 | genmc (nr)      |       1 |         3 |        -3 |       3.4 |         -8 |      0.17 |      0.17 |    17 |    17
  117 | genmc (nr)      |      24 |         3 |       -55 |         0 |         -2 |    254.07 |    -85.98 | 1,059 |  -358
  118 | glow            |       1 | 2,159,548 |   644,630 | 3,339,145.9 |   -392,598 |      0.23 |     -0.04 |    23 |    -4
  119 | glow            |       2 |     2,550 |    -1,814 |  17,801.3 |    -42,296 |      0.10 |     -0.12 |     5 |    -6
  120 | glow            |       3 |       108 |        80 |     260.6 |       -201 |      0.03 |     -0.44 |     1 |   -15
  121 | glow            |       4 |     3,398 |      -303 |  36,545.9 |      2,645 |      0.12 |     -0.06 |     3 |    -1
  122 | glow            |       8 |    32,893 |   -30,989 | 376,519.8 |     73,528 |      3.90 |      0.16 |    49 |     2
  123 | glow            |      16 |        22 |      -239 |     345.7 |     -2,611 |      2.22 |      0.76 |    14 |     5
  124 | gluex           |       1 |         0 |      -153 |         0 |        -54 |      0.00 |     -0.05 |     0 |    -5
  125 | gluex           |       8 |         0 |       -53 |         0 |        -20 |      0.00 |     -0.46 |     0 |    -6
  126 | gm2             |       1 |   168,653 |  -144,585 | 134,509.8 |    -62,060 |      0.81 |     -0.08 |    81 |    -8
  127 | gridunesp       |       1 |    22,842 |   -13,987 | 193,885.8 |   -170,473 |      0.68 |     -0.23 |    68 |   -23
  128 | gridunesp       |       2 |        86 |      -223 |   2,243.8 |     -7,791 |      1.19 |     -0.01 |    60 |     0
  129 | gridunesp       |       3 |         4 |         1 |         0 |        -30 |      0.48 |     -0.74 |    16 |   -25
  130 | gridunesp       |       4 |        69 |        30 |   4,477.1 |      2,257 |      1.10 |      0.13 |    27 |     3
  131 | gridunesp       |       8 |     2,360 |     2,008 |  57,899.4 |     35,268 |      3.27 |     -0.35 |    41 |    -4
  132 | gridunesp       |       9 |        13 |        13 |       2.6 |          2 |      0.98 |      0.98 |    11 |    11
  133 | gridunesp       |      10 |         6 |       -69 |       0.2 |     -6,167 |      7.99 |     -1.14 |    80 |   -11
  134 | gridunesp       |      12 |         5 |       -79 |      24.0 |     -1,119 |      9.62 |      7.70 |    80 |    64
  135 | gridunesp       |      16 |       162 |       139 |   6,809.7 |      6,446 |     15.23 |      2.34 |    95 |    14
  136 | gridunesp       |      18 |         1 |         1 |         0 |          0 |     13.63 |     13.63 |    76 |    76
  137 | gridunesp       |      24 |        45 |        39 |     561.3 |        536 |     13.02 |      6.28 |    54 |    26
  138 | gridunesp       |      25 |         0 |        -2 |         0 |         -1 |      0.00 |    -22.07 |     0 |   -88
  139 | gridunesp       |      26 |         0 |        -1 |         0 |         -5 |      0.00 |     -6.07 |     0 |   -23
  140 | gridunesp       |      27 |         0 |        -6 |         0 |        -98 |      0.00 |     -6.76 |     0 |   -25
  141 | gridunesp       |      28 |         2 |        -3 |     284.8 |        -20 |      5.02 |     -0.55 |    18 |    -2
  142 | gridunesp       |      29 |         0 |        -3 |         0 |        -42 |      0.00 |     -7.00 |     0 |   -24
  143 | gridunesp       |      30 |         0 |        -3 |         0 |        -20 |      0.00 |     -6.99 |     0 |   -23
  144 | gridunesp       |      31 |         0 |        -1 |         0 |         -8 |      0.00 |     -7.06 |     0 |   -23
  145 | gridunesp       |      32 |        35 |         1 |   1,563.2 |        885 |     12.68 |     -0.89 |    40 |    -2
  146 | gridunesp       |      48 |         4 |         4 |       0.1 |          0 |     16.88 |     16.88 |    35 |    35
  147 | gridunesp       |      64 |        16 |         6 |     484.5 |        356 |     45.56 |    -18.21 |    71 |   -29
  148 | gridunesp       |      72 |         2 |         2 |       0.1 |          0 |     10.75 |     10.75 |    15 |    15
  149 | gridunesp       |     100 |        81 |        74 |     992.9 |        987 |     89.86 |     -4.07 |    90 |    -4
  150 | gridunesp       |     128 |         0 |        -1 |         0 |          0 |      0.00 |     -1.14 |     0 |    -1
  151 | gridunesp       |     150 |         4 |         4 |      71.8 |         71 |     96.99 |     96.99 |    65 |    65
  152 | hcc             |       1 |   274,591 |    10,381 | 2,508,271.5 |    479,659 |      0.32 |      0.19 |    32 |    19
  153 | hcc             |       2 |     5,625 |     1,527 |   2,701.1 |     -2,908 |      0.07 |     -0.06 |     3 |    -3
  154 | hcc             |       3 |        54 |        10 |      21.3 |          4 |      0.02 |      0.00 |     1 |     0
  155 | hcc             |       4 |     6,529 |     3,176 |   2,712.1 |      1,160 |      0.02 |      0.01 |     0 |     0
  156 | hcc             |       8 |    19,074 |     5,451 | 155,729.8 |     92,277 |      2.96 |      1.26 |    37 |    16
  157 | icecube         |       1 | 10,336,299 | 7,262,757 | 3,073,190.9 |    380,690 |      0.35 |     -0.17 |    35 |   -17
  158 | icecube         |       2 |    20,608 |    18,716 |  26,618.9 |     25,229 |      0.54 |     -0.06 |    27 |    -3
  159 | icecube         |       3 |     9,331 |     8,390 |  10,271.4 |      9,973 |      0.50 |     -1.12 |    17 |   -37
  160 | icecube         |       4 |     4,087 |       898 |  14,842.2 |     13,789 |      0.58 |     -1.05 |    15 |   -26
  161 | icecube         |       5 |       879 |        29 |   1,291.0 |      1,078 |      1.23 |     -0.71 |    25 |   -14
  162 | icecube         |       6 |    21,764 |    13,482 |   9,969.4 |      8,317 |      1.44 |     -0.43 |    24 |    -7
  163 | icecube         |       7 |     4,746 |       512 |   2,391.4 |      1,200 |      0.91 |      0.27 |    13 |     4
  164 | icecube         |       8 |    64,654 |    40,405 |  47,291.8 |     37,858 |      1.35 |      0.20 |    17 |     3
  165 | icecube         |       9 |     1,257 |    -2,657 |     107.8 |         81 |      2.30 |     -6.25 |    26 |   -69
  166 | icecube         |      10 |         1 |         0 |       0.1 |          0 |      6.08 |      6.07 |    61 |    61
  167 | icecube         |      11 |    10,617 |     1,925 |     189.6 |        112 |      6.61 |     -2.98 |    60 |   -27
  168 | icecube         |      12 |       574 |       295 |     298.6 |        256 |      0.98 |     -1.34 |     8 |   -11
  169 | icecube         |      13 |       599 |        86 |      26.3 |         19 |      5.79 |     -2.01 |    45 |   -15
  170 | icecube         |      14 |       179 |      -145 |      37.7 |         34 |      1.90 |     -5.47 |    14 |   -39
  171 | icecube         |      15 |       728 |       168 |     168.3 |        167 |      0.91 |     -5.60 |     6 |   -37
  172 | icecube         |      16 |    79,106 |    69,864 |   7,839.3 |      7,176 |      3.96 |     -2.97 |    25 |   -18
  173 | icecube         |      18 |         1 |        -1 |       3.4 |          3 |      0.00 |     -0.03 |     0 |     0
  174 | icecube         |      19 |        71 |        48 |     245.6 |        221 |      3.38 |     -2.65 |    18 |   -14
  175 | icecube         |      20 |        21 |      -154 |     336.4 |        303 |      0.63 |     -2.58 |     3 |   -13
  176 | icecube         |      21 |         9 |         9 |      52.9 |         52 |      0.32 |      0.32 |     2 |     2
  177 | icecube         |      22 |        69 |        68 |      35.2 |         26 |      2.54 |     -0.05 |    12 |     0
  178 | icecube         |      23 |         1 |         0 |      39.9 |         32 |      1.32 |     -1.02 |     6 |    -4
  179 | icecube         |      24 |    33,098 |    32,223 |   3,391.7 |      3,243 |      2.82 |     -1.88 |    12 |    -8
  180 | icecube         |      32 |    11,931 |    10,184 |   2,817.0 |      2,616 |      6.54 |     -3.64 |    20 |   -12
  181 | ilc             |       1 |       679 |   -21,438 |     102.0 |    -61,059 |      0.16 |     -0.76 |    16 |   -76
  182 | iota (nr)       |       1 |        23 |        21 |      14.4 |         13 |     26.35 |     14.93 | 2,635 | 1,493
  183 | iota (nr)       |       2 |        57 |        34 |      87.7 |         75 |     53.68 |     30.58 | 2,684 | 1,529
  184 | iota (nr)       |       4 |         8 |         4 |      15.3 |         12 |    118.56 |     70.93 | 2,964 | 1,773
  185 | iota (nr)       |       6 |        11 |        11 |      29.2 |         29 |    150.37 |    150.37 | 2,506 | 2,506
  186 | iota (nr)       |       8 |         4 |         4 |      16.5 |         16 |    252.28 |    252.28 | 3,154 | 3,154
  187 | iota (nr)       |      12 |         4 |         2 |      17.9 |         17 |    143.92 |    119.89 | 1,199 |   999
  188 | iota (nr)       |      20 |         1 |        -1 |       8.4 |          8 |    239.89 |    218.98 | 1,199 | 1,094
  189 | lariat          |       1 |   104,020 |    52,821 |  60,958.7 |    -28,176 |      0.57 |     -0.23 |    57 |   -23
  190 | ligo            |       1 | 1,265,905 |   297,447 | 1,118,606.8 |     94,924 |      0.48 |      0.00 |    48 |     0
  191 | lqcdadmin (nr)  |       1 |         1 |       -10 |       0.1 |         -2 |      0.01 |     -3.09 |     1 |  -309
  192 | lqcdadmin (nr)  |       2 |         1 |         0 |       0.4 |          0 |      0.00 |      0.00 |     0 |     0
  193 | lqcdadmin (nr)  |       4 |         0 |        -5 |         0 |          0 |      0.00 |    -46.70 |     0 | -1,168
  194 | lqcdadmin (nr)  |      48 |         0 |        -1 |         0 |          0 |      0.00 |    -15.21 |     0 |   -32
  195 | lqcdg (nr)      |       1 |         2 |       -10 |      16.1 |        -54 |      0.00 |     -0.07 |     0 |    -7
  196 | lz              |       1 |        24 |        24 |       0.9 |          0 |      0.52 |      0.52 |    52 |    52
  197 | mars            |       1 |    57,332 |   -16,397 | 623,139.0 |    -46,860 |      0.91 |      0.07 |    91 |     7
  198 | mi (nr)         |       1 |         1 |      -269 |       0.1 |     -3,741 |      0.00 |    -29.84 |     0 | -2,984
  199 | mi (nr)         |       2 |         0 |       -21 |         0 |         -3 |      0.00 |    -41.91 |     0 | -2,096
  200 | mi (nr)         |       3 |         0 |        -1 |         0 |          0 |      0.00 |    -34.01 |     0 | -1,134
  201 | mi (nr)         |       4 |         0 |        -1 |         0 |          0 |      0.00 |    -23.69 |     0 |  -592
  202 | mi (nr)         |       5 |         0 |        -8 |         0 |        -14 |      0.00 |    -39.14 |     0 |  -783
  203 | mi (nr)         |       6 |         0 |        -6 |         0 |          0 |      0.00 |    -69.55 |     0 | -1,159
  204 | mi (nr)         |       7 |         0 |        -1 |         0 |          0 |      0.00 |    -80.92 |     0 | -1,156
  205 | mi (nr)         |       8 |         4 |        -2 |      70.1 |         67 |    255.45 |      6.06 | 3,193 |    76
  206 | mi (nr)         |      12 |         0 |        -1 |         0 |          0 |      0.00 |      0.00 |     0 |     0
  207 | mi (nr)         |      16 |         1 |         1 |      11.0 |         10 |    511.02 |    511.02 | 3,194 | 3,194
  208 | mi (nr)         |      31 |         0 |        -7 |         0 |         -1 |      0.00 |   -930.41 |     0 | -3,001
  209 | microboone      |       1 | 1,012,175 |    46,216 | 999,969.5 |   -341,737 |      0.72 |     -0.06 |    72 |    -6
  210 | microboone      |       2 |       182 |      -248 |      70.1 |     -1,229 |      0.02 |     -0.41 |     1 |   -20
  211 | microboone      |       3 |         1 |       -19 |       0.4 |        -51 |      0.02 |     -0.50 |     1 |   -16
  212 | microboone      |       4 |       228 |      -155 |      94.0 |       -854 |      0.01 |     -0.43 |     0 |   -11
  213 | microboone      |       8 |     4,179 |     2,745 |   1,454.4 |     -3,850 |      0.02 |     -3.86 |     0 |   -49
  214 | microboone      |      16 |         0 |       -91 |         0 |       -171 |      0.00 |     -4.23 |     0 |   -26
  215 | minerva         |       1 |   461,927 |   118,910 | 555,499.5 |   -181,491 |      0.75 |     -0.01 |    75 |    -1
  216 | minervag (nr)   |       1 |        10 |        -2 |       1.2 |         -9 |      3.65 |      2.51 |   365 |   251
  217 | minos           |       1 |   572,852 |   283,014 | 1,551,921.5 |   -105,302 |      0.97 |      0.12 |    97 |    12
  218 | mis             |       1 |        86 |        86 |      21.6 |         21 |      0.00 |      0.00 |     0 |     0
  219 | mis             |       4 |         2 |         2 |         0 |          0 |      0.00 |      0.00 |     0 |     0
  220 | mu2e            |       1 |   305,789 |   128,316 | 799,741.6 |     81,802 |      0.87 |      0.10 |    87 |    10
  221 | nanohub         |       1 |     6,840 |     1,852 |   3,481.2 |        325 |      0.22 |     -0.02 |    22 |    -2
  222 | nanohub         |       2 |       835 |       -16 |     515.9 |         -5 |      0.31 |      0.07 |    16 |     4
  223 | nanohub         |       3 |        21 |        -1 |       8.5 |         -1 |      0.11 |     -0.16 |     4 |    -5
  224 | nanohub         |       4 |       967 |       159 |     623.7 |        130 |      0.20 |     -0.12 |     5 |    -3
  225 | nanohub         |       8 |     2,188 |       328 |     677.6 |         87 |      0.00 |     -0.01 |     0 |     0
  226 | nnet (nr)       |       1 |         2 |        -3 |      31.6 |        -80 |      0.68 |     -0.37 |    68 |   -37
  227 | nova            |       1 |   748,904 |   -57,915 | 3,562,882.1 |   -833,840 |      0.69 |     -0.06 |    69 |    -6
  228 | nova            |       2 |       741 |    -2,648 |   1,673.4 |     -4,685 |      0.21 |     -0.18 |    11 |    -8
  229 | nova            |       3 |         5 |       -93 |      33.7 |        -82 |      0.94 |      0.33 |    31 |    11
  230 | nova            |       4 |       687 |    -2,523 |   1,787.4 |     -5,617 |      0.47 |      0.01 |    12 |     1
  231 | nova            |       8 |     4,103 |    -4,053 |   2,718.3 |     -2,101 |      0.75 |     -0.28 |     9 |    -4
  232 | nova            |      16 |         0 |        -4 |         0 |         -1 |      0.00 |     -0.02 |     0 |     0
  233 | numix           |       1 |       200 |    -2,445 |      33.4 |     -4,911 |      0.66 |      0.40 |    66 |    40
  234 | nuosc (nr)      |       1 |         0 |        -1 |         0 |          0 |      0.00 |      0.00 |     0 |     0
  235 | osg             |       1 | 11,325,695 |  -315,217 | 10,414,759.0 | -2,576,802 |      0.70 |      0.02 |    70 |     2
  236 | osg             |       2 |     2,334 |    -3,208 |  10,171.9 |    -37,263 |      0.43 |      0.18 |    21 |     9
  237 | osg             |       3 |        24 |       -50 |       8.5 |       -879 |      0.00 |     -0.55 |     0 |   -18
  238 | osg             |       4 |     1,559 |    -1,583 |   5,430.2 |    -28,765 |      0.21 |     -0.22 |     5 |    -6
  239 | osg             |       6 |       330 |        36 |   9,892.5 |       -936 |      5.78 |      0.17 |    96 |     2
  240 | osg             |       8 |    65,126 |     2,439 | 749,913.3 |   -260,415 |      4.79 |      0.06 |    60 |     1
  241 | osg             |      16 |        40 |      -166 |     273.8 |     -3,400 |      3.54 |      1.52 |    22 |     9
  242 | osg             |      24 |     1,615 |    -1,096 |  20,498.1 |     12,581 |     18.77 |      8.07 |    78 |    33
