#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
submit-5.chtc.wisc.edu:2528103.1586,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e375.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1319678.3979,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e136.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:907172.6728,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e273.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:973378.322,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,gzk9000c002.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1069036.2173,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e418.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1714965.4,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,atlas75.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:684946.9967,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e407.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login06.hep.wisc.edu:3254157.96,Payload,condor:login06.hep.wisc.edu,GLOW,g30n21.hep.wisc.edu,g30n21.hep.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:684946.9960,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e397.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1726758.6762,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e418.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1319678.7276,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e013.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:2091895.3316,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e366.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:2991464.7354,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e410.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1188136.10139,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e369.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.2618,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e070.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2890654.60,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e168.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2890654.65,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e094.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2558589.826,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,c220g1-030605.wisc.cloudlab.us (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3887219.1806,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e375.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:2821033.1541,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e433.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1036262.2012,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e089.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1714965.44,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e320.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3916508.9291,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c015.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1069036.423,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,clover-24.cs.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1696351.2448,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e376.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1096915.35,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,ale-20.cs.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3504335.4796,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e322.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2890654.481,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e118.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1004003.1289,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e455.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:2464874.4923,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e326.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1004003.1285,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,aci-223.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2901081.670,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e456.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1367666.8524,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e299.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2609964.597,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,c053.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.1768,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,aci-091.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:482927.11771,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e287.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1775109.690,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e350.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1696351.3997,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e130.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:2175383.6703,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e383.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1128702.343,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,opt-a006.discovery.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:482927.5590,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e395.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:3359827.201,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e318.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3359827.200,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,aci-307.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3359827.203,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,aci-305.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1113379.2186,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,opt-a004.discovery.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:791855.486,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,opt-a015.discovery.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3383758.2424,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e295.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:3504335.4420,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e456.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:482927.11084,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c081.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:3336452.2860,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,aci-096.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3336452.4694,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e015.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:802384.106,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e149.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:802384.104,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,c078.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3504335.4428,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e309.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:791855.488,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e228.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:684946.12856,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c031.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1019178.1689,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,gzk9000c002.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1113379.1723,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e377.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.1583,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e345.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2549876.64,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e382.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3504335.3286,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e371.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:900221.93,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e233.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2468751.499,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,aci-009.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2890654.161,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e296.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1019178.475,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e331.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2890654.165,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e431.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3383758.771,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e263.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:3730514.2456,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e352.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:3359827.309,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,pc-c220m4-r01-03.wisc.cloudlab.us (primary) ,,,Failure
submit-3.chtc.wisc.edu:886433.4323,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e130.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3504335.148,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e252.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1004003.1867,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,opt-a001.discovery.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1893469.10991,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e386.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1752515.7925,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c065.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1726758.7141,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c073.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1019178.1285,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e450.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1775109.2820,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,atlas93.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1775109.5293,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,atlas95.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1726758.7148,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c059.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:791855.1938,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e039.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3504335.632,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e263.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2890654.983,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e269.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:990878.1238,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,atlas25.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2602299.56,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e118.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1188136.670,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e152.chtc.wisc.edu (primary) ,,,Failure
sub-simprod.icecube.wisc.edu:10771.239,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,e125.chtc.wisc.edu,e125.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.2585,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e439.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.2584,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e370.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:778209.915,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,pc-c220m4-r04-10.wisc.cloudlab.us (primary) ,,,Failure
submit-3.chtc.wisc.edu:1096915.106,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,atlas97.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2577642.1174,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,c220g2-011004.wisc.cloudlab.us (primary) ,,,Failure
